noise_regime,objective,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_n,eval_ece_mean,eval_ece_std,eval_ece_n,eval_brier_mean,eval_brier_std,eval_brier_n,eval_nll_mean,eval_nll_std,eval_nll_n
asym_40,fisher_rao,0.8353333333333333,0.008082903768654767,3,0.20072470226387182,0.010864305965761352,3,0.3608202636241913,0.0041107494294202,3,0.7404672503471375,0.017131571391124135,3
asym_40,gce,0.8061666666666666,0.0016072751268321722,3,0.059501117900013924,0.0025748201190173357,3,0.30666332443555194,0.002034050494399275,3,0.6852053006490072,0.01175650328893153,3
asym_40,hellinger,0.8261666666666666,0.009814954576223648,3,0.16953253162900606,0.010649174169601254,3,0.3376009464263916,0.003947434912328364,3,0.6955091953277588,0.017639013865592044,3
asym_40,kl,0.8591666666666667,0.0011547005383792527,3,0.2910386599500974,0.00442603546202575,3,0.4087722897529602,0.006308820115337889,3,0.752935787041982,0.021702758912244876,3
asym_40,mae,0.6446666666666667,0.04279700145259394,3,0.30553741637369,0.0436144206422852,3,0.6572765111923218,0.08879492643121267,3,3.856175661087036,0.7638591278181571,3
asym_40,sce,0.8298333333333333,0.008129165598838119,3,0.09645472632845241,0.008087635776699098,3,0.26861505707105,0.01372443241576745,3,0.783151388168335,0.05460853262256268,3
clean,fisher_rao,0.9231666666666666,0.0033291640592397133,3,0.037515070060888944,0.0016512711961245317,3,0.11890549709399541,0.005558717439644253,3,0.2756219208240509,0.01499340910293938,3
clean,gce,0.9143333333333333,0.003752776749732539,3,0.04511413180828094,0.0030305616771886504,3,0.13305063048998514,0.005412058584280139,3,0.326496422290802,0.01939665474392462,3
clean,hellinger,0.9215,0.006557438524302006,3,0.02599643675486246,0.0030593999128253886,3,0.12146119525035222,0.005891624700769033,3,0.2686000367005666,0.015459461103863871,3
clean,kl,0.9241666666666667,0.0034034296427770476,3,0.016648451879620548,0.005616508824949006,3,0.11390030135711034,0.004210162377629468,3,0.23465278247992197,0.013639769968037124,3
clean,mae,0.8993333333333333,0.008779711460710597,3,0.0677216098407904,0.0036969756764848568,3,0.16677971680959067,0.01224147562569764,3,0.4813588658968608,0.031598582182368364,3
clean,sce,0.9001666666666667,0.010981044273352796,3,0.07514344224582116,0.011140954506574345,3,0.17191865543524423,0.014493324131458254,3,0.582753598690033,0.05194719790766027,3
sym_20,fisher_rao,0.9071666666666666,0.005923118547972309,3,0.027462439989050225,0.0050353799204028065,3,0.13558840254942575,0.012366042737178376,3,0.28862236936887103,0.02514973901939744,3
sym_20,gce,0.9039999999999999,0.00804673846971555,3,0.044765628462036466,0.0055285015948670115,3,0.1465792457262675,0.010075150759118063,3,0.3443908095359802,0.02815751515680784,3
sym_20,hellinger,0.9058333333333333,0.009504384952922176,3,0.02181943103919427,0.0037572726611788967,3,0.13773184021313986,0.011675589611273844,3,0.2920692165692647,0.027323490321294726,3
sym_20,kl,0.8961666666666667,0.002929732638541129,3,0.13778935534258685,0.008908779608725954,3,0.17958519359429678,0.007583897005287962,3,0.44183581074078876,0.019816091208385504,3
sym_20,mae,0.8886666666666666,0.008281505499203208,3,0.07156719925751287,0.008179045754298307,3,0.1804708888133367,0.014855173361370256,3,0.5048435231049856,0.04041149091951257,3
sym_20,sce,0.8871666666666665,0.0063311399710741885,3,0.08065589210887751,0.006373987990412861,3,0.18759910762310028,0.011806420908317659,3,0.592328945795695,0.05386632889945957,3
sym_40,fisher_rao,0.8833333333333333,0.0070237691685684995,3,0.03961826564123231,0.0031480887249982796,3,0.17589857677618662,0.0076385293745527645,3,0.3966270287831624,0.013587780137841335,3
sym_40,gce,0.884,0.005220153254455311,3,0.042776857207218806,0.0014733453862649673,3,0.17103674511114755,0.008084988555083661,3,0.37666840354601544,0.022681983818005628,3
sym_40,hellinger,0.879,0.0067268120235368075,3,0.02436872707307341,0.003589674515164238,3,0.17369508743286133,0.008843446259773602,3,0.3824043075243632,0.016620126007689286,3
sym_40,kl,0.8616666666666667,0.0045092497528228985,3,0.2915992445498705,0.007992245374602367,3,0.30668015281359357,0.005704690305950902,3,0.7489780386288961,0.014119740753641249,3
sym_40,mae,0.8676666666666667,0.006048415770541379,3,0.08320593003183606,0.003123879417010354,3,0.21241000294685364,0.011009711545670042,3,0.5982832113901774,0.053029703953401265,3
sym_40,sce,0.8756666666666666,0.011514483632943896,3,0.0730515876362721,0.007449562895756867,3,0.19960722823937735,0.01821785215316694,3,0.5479158163070679,0.051002025431460665,3
sym_60,fisher_rao,0.8131666666666666,0.00752218939759779,3,0.1957075395633777,0.01822711936756206,3,0.3226252794265747,0.0019004798664471914,3,0.7662566502888998,0.007296147103180469,3
sym_60,gce,0.8386666666666667,0.0012583057392117633,3,0.025561382864912368,0.005802991486900128,3,0.2317220022281011,0.005983204026689426,3,0.514070858558019,0.021949002900809395,3
sym_60,hellinger,0.8096666666666668,0.008371578903249549,3,0.15264871971060834,0.015199627525018277,3,0.3036399483680725,0.0006860493506740958,3,0.715094248453776,0.004164816477807977,3
sym_60,kl,0.8028333333333334,0.002753785273643067,3,0.4316758070165912,0.012510754847865676,3,0.5140061577161154,0.009716518801780677,3,1.1933281421661377,0.021564159541534123,3
sym_60,mae,0.7048333333333333,0.013382202110763903,3,0.21295162253081798,0.006182900830052679,3,0.4886752665042877,0.025477013372669374,3,1.4894987344741821,0.07491838423142365,3
sym_60,sce,0.8338333333333333,0.00561990510002912,3,0.0765844824363788,0.002145759504687219,3,0.25502761205037433,0.012223784374043976,3,0.629604717095693,0.029329732410605703,3
