noise_regime,objective,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
clean,kl,0,0.928,0.014576304733753234,0.1099860817193985,0.22078841924667358
clean,gce,0,0.9165,0.0427752261906862,0.12762796878814697,0.30434009432792664
clean,mae,0,0.9085,0.06403623026609417,0.15550383925437927,0.46059370040893555
clean,sce,0,0.907,0.0683167488947511,0.16298620402812958,0.5460166335105896
clean,hellinger,0,0.9285,0.026388525009155256,0.11654600501060486,0.25348275899887085
clean,fisher_rao,0,0.927,0.035747853443026584,0.1125263199210167,0.2583135962486267
sym_20,kl,0,0.8995,0.13386674878001215,0.1721218377351761,0.4212699234485626
sym_20,gce,0,0.905,0.045908112481236434,0.1425790637731552,0.3241173028945923
sym_20,mae,0,0.8965,0.06342367766797541,0.16744183003902435,0.4717807471752167
sym_20,sce,0,0.8895,0.0809521438330412,0.18170462548732758,0.556201159954071
sym_20,hellinger,0,0.9155,0.018218490809202192,0.12517745792865753,0.2616458535194397
sym_20,fisher_rao,0,0.914,0.023062045484781267,0.12132096290588379,0.26009121537208557
sym_40,kl,0,0.866,0.28911412037909034,0.30136510729789734,0.7338299751281738
sym_40,gce,0,0.89,0.044466629877686514,0.16170300543308258,0.3511403501033783
sym_40,mae,0,0.8745,0.08013507652282718,0.20157133042812347,0.5617457628250122
sym_40,sce,0,0.8855,0.06652583718299863,0.1816798895597458,0.5015304684638977
sym_40,hellinger,0,0.8865,0.028507497467100632,0.1637270450592041,0.36321425437927246
sym_40,fisher_rao,0,0.89,0.042307435311377026,0.16755566000938416,0.38277536630630493
sym_60,kl,0,0.8015,0.4188710589706897,0.5034639239311218,1.170485019683838
sym_60,gce,0,0.84,0.02148530371487141,0.22895339131355286,0.5111406445503235
sym_60,mae,0,0.716,0.20848295716941356,0.4703274965286255,1.474162220954895
sym_60,sce,0,0.84,0.0741557798087597,0.24091336131095886,0.5961910486221313
sym_60,hellinger,0,0.8,0.13510669971257447,0.30289071798324585,0.7119394540786743
sym_60,fisher_rao,0,0.806,0.17537135191261768,0.3235146701335907,0.766192615032196
asym_40,kl,0,0.8605,0.2860078399777412,0.40194427967071533,0.7290991544723511
asym_40,gce,0,0.805,0.05672486425936219,0.30727189779281616,0.6744821667671204
asym_40,mae,0,0.6225,0.3305418193042278,0.704718828201294,4.348136901855469
asym_40,sce,0,0.839,0.08725869449973106,0.2529110610485077,0.722105085849762
asym_40,hellinger,0,0.8205,0.1651665041744709,0.3353450894355774,0.6788598895072937
asym_40,fisher_rao,0,0.834,0.19591214323043826,0.35727986693382263,0.7214974761009216
clean,kl,1,0.9215,0.023006632745265952,0.11336048692464828,0.23511365056037903
clean,gce,1,0.9165,0.04402937866747379,0.1330718994140625,0.33473679423332214
clean,mae,1,0.8985,0.06769852574169632,0.16503560543060303,0.4657592177391052
clean,sce,1,0.906,0.06911390478909017,0.16412866115570068,0.5600574016571045
clean,hellinger,1,0.9155,0.028840890601277334,0.12799210846424103,0.28438034653663635
clean,fisher_rao,1,0.9215,0.0390186829119921,0.12147952616214752,0.2839314937591553
sym_20,kl,1,0.894,0.13151499092578886,0.1793496012687683,0.44343194365501404
sym_20,gce,1,0.9115,0.038755142241716424,0.139118492603302,0.33251428604125977
sym_20,mae,1,0.8895,0.07149660787731411,0.17732317745685577,0.49285775423049927
sym_20,sce,1,0.892,0.0741389438211918,0.17990055680274963,0.5665445923805237
sym_20,hellinger,1,0.9055,0.025715615816414343,0.13975344598293304,0.300042986869812
sym_20,fisher_rao,1,0.9035,0.032953905552625666,0.14322125911712646,0.3075772225856781
sym_40,kl,1,0.857,0.28514478743821386,0.305967777967453,0.7513300776481628
sym_40,gce,1,0.8815,0.042102990955114376,0.17553623020648956,0.38436180353164673
sym_40,mae,1,0.8655,0.08310244963318114,0.21207554638385773,0.5739971399307251
sym_40,sce,1,0.8785,0.07146091538667683,0.19903947412967682,0.5396838784217834
sym_40,hellinger,1,0.877,0.022102624200284516,0.17675943672657013,0.39218637347221375
sym_40,fisher_rao,1,0.884,0.0403918728381395,0.17759133875370026,0.39717113971710205
sym_60,kl,1,0.801,0.43228613412380223,0.5159521102905273,1.1961673498153687
sym_60,gce,1,0.8385,0.02299356809258464,0.2276245355606079,0.4937341511249542
sym_60,mae,1,0.7085,0.21036397065222262,0.4779343903064728,1.4234353303909302
sym_60,sce,1,0.8325,0.077374173283577,0.26219359040260315,0.6415284276008606
