noise_regime,objective,eval_accuracy_oriented_gain,eval_accuracy_n_improves,eval_accuracy_n_pairs,eval_accuracy_wilcoxon_p,eval_ece_oriented_gain,eval_ece_n_improves,eval_ece_n_pairs,eval_ece_wilcoxon_p,eval_brier_oriented_gain,eval_brier_n_improves,eval_brier_n_pairs,eval_brier_wilcoxon_p,eval_nll_oriented_gain,eval_nll_n_improves,eval_nll_n_pairs,eval_nll_wilcoxon_p
asym_40,fisher_rao,0.08150000000000002,5,5,nan,-0.09492599184215068,0,5,nan,-0.1057921290397644,0,5,nan,-0.18990583419799806,0,5,nan
asym_40,gce,-0.14329999999999998,0,5,nan,0.03646418657004834,5,5,nan,0.13873212337493895,5,5,nan,0.6331435680389405,5,5,nan
asym_40,hellinger,-0.18009999999999998,0,5,nan,-0.10661487677991388,0,5,nan,0.11668634414672852,5,5,nan,0.41023361682891846,5,5,nan
asym_40,mae,-0.31209999999999993,0,5,nan,0.6112180675759913,5,5,nan,0.8661754369735718,5,5,nan,10.718778276443482,5,5,nan
asym_40,sce,-0.00039999999999998923,2,5,nan,0.16799497103393077,5,5,nan,0.09474538564682007,5,5,nan,0.84722900390625,5,5,nan
clean,fisher_rao,0.05289999999999997,5,5,nan,0.06734918587654833,5,5,nan,-0.05241467356681824,0,5,nan,-0.011096417903900146,2,5,nan
clean,gce,-0.22360000000000002,0,5,nan,0.2511514265358448,5,5,nan,0.3631507396697998,5,5,nan,1.291350769996643,5,5,nan
clean,hellinger,-0.2579,0,5,nan,0.14507938260585068,5,5,nan,0.3273512482643127,5,5,nan,0.8652435302734375,5,5,nan
clean,mae,-0.4986999999999999,0,5,nan,0.7396799453422427,5,5,nan,1.1520132780075074,5,5,nan,12.859123706817627,5,5,nan
clean,sce,-0.033400000000000055,0,5,nan,0.20243069194704297,5,5,nan,0.13770060539245604,5,5,nan,1.0796812057495118,5,5,nan
sym_20,fisher_rao,0.0974,5,5,nan,-0.0943750040844083,0,5,nan,-0.14828123450279235,0,5,nan,-0.33712958097457885,0,5,nan
sym_20,gce,-0.19779999999999998,0,5,nan,0.10754734046161177,5,5,nan,0.2781443953514099,5,5,nan,0.9558202505111695,5,5,nan
sym_20,hellinger,-0.23209999999999997,0,5,nan,-0.04341975072324277,0,5,nan,0.2268882393836975,5,5,nan,0.5405193090438842,5,5,nan
sym_20,mae,-0.4447,0,5,nan,0.6205426809549331,5,5,nan,1.0656480193138123,5,5,nan,12.434658336639405,5,5,nan
sym_20,sce,0.019500000000000028,5,5,nan,0.07262577685117722,5,5,nan,0.03781837224960327,5,5,nan,0.6851897954940795,5,5,nan
sym_40,fisher_rao,0.1264,5,5,nan,-0.2062437849864364,0,5,nan,-0.21880590915679932,0,5,nan,-0.5452373027801514,0,5,nan
sym_40,gce,-0.14970000000000003,0,5,nan,-0.029978210617601864,0,5,nan,0.13561828136444093,5,5,nan,0.455238938331604,5,5,nan
sym_40,hellinger,-0.21380000000000005,0,5,nan,-0.20868105186969038,0,5,nan,0.1280394196510315,5,5,nan,0.33895437717437743,5,5,nan
sym_40,mae,-0.32730000000000004,0,5,nan,0.5134280478581786,5,5,nan,0.8586636185646057,5,5,nan,10.833681297302245,5,5,nan
sym_40,sce,0.0709,5,5,nan,0.0029214453503489503,3,5,nan,-0.05769068002700806,0,5,nan,0.2170628309249878,5,5,nan
sym_60,fisher_rao,0.09749999999999999,5,5,nan,-0.08656423567235469,0,5,nan,-0.15565365552902222,0,5,nan,-0.4163011074066162,0,5,nan
sym_60,gce,-0.1499,0,5,nan,-0.20882465109825135,0,5,nan,0.03199859857559204,5,5,nan,0.11276881694793701,5,5,nan
sym_60,hellinger,-0.21400000000000002,0,5,nan,-0.16312139661759137,0,5,nan,0.08038089275360108,5,5,nan,0.2923536539077759,5,5,nan
sym_60,mae,-0.22719999999999999,0,5,nan,0.46818850985914473,5,5,nan,0.6793110489845275,5,5,nan,8.464816546440124,5,5,nan
sym_60,sce,0.08579999999999996,5,5,nan,0.013686742901802057,5,5,nan,-0.0803331732749939,0,5,nan,-0.062311649322509766,0,5,nan
