noise_type,noise_rate,objective,n_seeds,mean_accuracy,std_accuracy
aggre,0.09,fisher_rao,10,0.8230000000000001,0.0056920997883030825
aggre,0.09,gce,10,0.8103999999999999,0.005063595560468844
aggre,0.09,hellinger,10,0.81705,0.006451550201308199
aggre,0.09,kl,10,0.8162999999999998,0.005065570056765541
aggre,0.09,mae,10,0.6843,0.02328218202832373
aggre,0.09,sce,10,0.796,0.005310367218940703
random1,0.17,fisher_rao,10,0.80745,0.005943273508766013
random1,0.17,gce,10,0.7974,0.008184741901856168
random1,0.17,hellinger,10,0.8058500000000001,0.0051334686129360955
random1,0.17,kl,10,0.79725,0.007103696220982432
random1,0.17,mae,10,0.66485,0.01116702735735879
random1,0.17,sce,10,0.7866000000000001,0.008825531145489222
worse,0.4,fisher_rao,10,0.7429500000000001,0.01133236515472388
worse,0.4,gce,10,0.73655,0.011658580531093822
worse,0.4,hellinger,10,0.7413000000000001,0.01368064325973014
worse,0.4,kl,10,0.7270000000000001,0.012144957801491132
worse,0.4,mae,10,0.57295,0.03600864479538211
worse,0.4,sce,10,0.7226000000000001,0.011031319050775389
