experiment,dataset,corruption_type,stress_level,objective,eval_trustworthiness_mean,eval_trustworthiness_std,eval_trustworthiness_n,eval_neighborhood_recall_mean,eval_neighborhood_recall_std,eval_neighborhood_recall_n,eval_silhouette_mean,eval_silhouette_std,eval_silhouette_n,eval_knn_accuracy_mean,eval_knn_accuracy_std,eval_knn_accuracy_n,eval_local_label_purity_mean,eval_local_label_purity_std,eval_local_label_purity_n,eval_corrupted_edge_preservation_mean,eval_corrupted_edge_preservation_std,eval_corrupted_edge_preservation_n,eval_corrupted_edge_q_mass_mean,eval_corrupted_edge_q_mass_std,eval_corrupted_edge_q_mass_n
noisy_affinity,blobs,block,0.0,fisher_rao,0.9618678768914227,0.005238985684624311,10,0.3771,0.05036307681399977,10,0.8261014580726623,0.0024895136328008174,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10
noisy_affinity,blobs,block,0.0,fr_kl_hybrid,0.9668726287262872,0.0,5,0.42650000000000005,0.0,5,0.8235270619392395,4.472851052676499e-06,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.0,0.0,5
noisy_affinity,blobs,block,0.0,hellinger,0.9668243902439023,1.78121156912452e-05,5,0.425,0.0,5,0.8237430691719055,5.038902074822592e-06,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.0,0.0,5
noisy_affinity,blobs,block,0.0,jensen_shannon,0.9668569105691057,1.0907648670730691e-05,5,0.4245,0.00035355339059325446,5,0.8237866640090943,5.427853049244141e-06,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.0,0.0,5
noisy_affinity,blobs,block,0.0,kl,0.961814557465434,0.005331813489236685,10,0.3757499999999999,0.05268261889212926,10,0.8255030691623688,0.002568369742806954,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10
noisy_affinity,blobs,block,0.0,kl_capped,0.9668644986449865,0.0,5,0.42569999999999997,0.0002738612787525833,5,0.8230960607528687,1.0447879861256495e-05,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.0,0.0,5
noisy_affinity,blobs,block,0.0,kl_smoothed,0.9668607046070461,8.483726743890615e-06,5,0.42569999999999997,0.0002738612787525833,5,0.8231238603591919,1.0464766281906243e-05,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.0,0.0,5
noisy_affinity,blobs,block,0.025,fisher_rao,0.9589356875800744,0.0055757194400592285,10,0.35313333333333335,0.05150193571814604,10,0.8098846018314362,0.008275960486548694,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0009848877205513417,0.0004532209179027288,10
noisy_affinity,blobs,block,0.025,fr_kl_hybrid,0.9625246612466125,0.0015256172117227816,5,0.3936,0.004292435206266944,5,0.7857791304588317,0.00927749266730364,5,1.0,0.0,5,0.9986,0.0012942179105544561,5,0.02,0.02738612787525831,5,0.0014783979626372457,0.000338023844142995,5
noisy_affinity,blobs,block,0.025,hellinger,0.9640411924119242,0.0020460968429175446,5,0.4010999999999999,0.01204367053684213,5,0.8049410343170166,0.007817196189556761,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.0013018571655265987,0.000351727860078143,5
