experiment,objective,metric_label,metric,n_cells,n_improves_over_kl,n_improves_p_lt_0_05,mean_oriented_improvement
noisy_affinity,fisher_rao,bad_edge_preservation,eval_corrupted_edge_preservation,48,47,0,0.16644059274438375
noisy_affinity,fisher_rao,bad_edge_q_mass,eval_corrupted_edge_q_mass,48,48,0,0.003182450831809547
noisy_affinity,fisher_rao,trustworthiness,eval_trustworthiness,48,44,0,0.024823712737127367
noisy_affinity,fisher_rao,clean_recall,eval_neighborhood_recall,48,43,0,0.033404166666666665
noisy_affinity,fisher_rao,silhouette,eval_silhouette,48,30,0,0.06278926053103835
noisy_affinity,fr_kl_hybrid,bad_edge_preservation,eval_corrupted_edge_preservation,48,46,0,0.09893703785020382
noisy_affinity,fr_kl_hybrid,bad_edge_q_mass,eval_corrupted_edge_q_mass,48,48,0,0.0022405128031095954
noisy_affinity,fr_kl_hybrid,trustworthiness,eval_trustworthiness,48,41,0,0.016226275971093048
noisy_affinity,fr_kl_hybrid,clean_recall,eval_neighborhood_recall,48,41,0,0.01923125
noisy_affinity,fr_kl_hybrid,silhouette,eval_silhouette,48,30,0,0.04138072518107947
noisy_affinity,hellinger,bad_edge_preservation,eval_corrupted_edge_preservation,48,47,0,0.16811593996660598
noisy_affinity,hellinger,bad_edge_q_mass,eval_corrupted_edge_q_mass,48,48,0,0.003184575878064304
noisy_affinity,hellinger,trustworthiness,eval_trustworthiness,48,45,0,0.02513112014453478
noisy_affinity,hellinger,clean_recall,eval_neighborhood_recall,48,44,0,0.03376874999999999
noisy_affinity,hellinger,silhouette,eval_silhouette,48,31,0,0.06282012176719338
noisy_affinity,jensen_shannon,bad_edge_preservation,eval_corrupted_edge_preservation,48,47,0,0.20978156577977278
noisy_affinity,jensen_shannon,bad_edge_q_mass,eval_corrupted_edge_q_mass,48,48,0,0.0036632750488934107
noisy_affinity,jensen_shannon,trustworthiness,eval_trustworthiness,48,44,0,0.03010663956639566
noisy_affinity,jensen_shannon,clean_recall,eval_neighborhood_recall,48,39,0,0.04389791666666667
noisy_affinity,jensen_shannon,silhouette,eval_silhouette,48,30,0,0.07267477787487829
noisy_affinity,kl_capped,bad_edge_preservation,eval_corrupted_edge_preservation,48,0,0,0.0
noisy_affinity,kl_capped,bad_edge_q_mass,eval_corrupted_edge_q_mass,48,0,0,0.0
noisy_affinity,kl_capped,trustworthiness,eval_trustworthiness,48,0,0,0.0
noisy_affinity,kl_capped,clean_recall,eval_neighborhood_recall,48,0,0,0.0
noisy_affinity,kl_capped,silhouette,eval_silhouette,48,0,0,0.0
noisy_affinity,kl_smoothed,bad_edge_preservation,eval_corrupted_edge_preservation,48,6,0,-2.303929616531697e-19
noisy_affinity,kl_smoothed,bad_edge_q_mass,eval_corrupted_edge_q_mass,48,0,0,-6.154414343958099e-06
noisy_affinity,kl_smoothed,trustworthiness,eval_trustworthiness,48,27,0,1.7671635049687032e-05
noisy_affinity,kl_smoothed,clean_recall,eval_neighborhood_recall,48,27,0,7.49999999999985e-05
noisy_affinity,kl_smoothed,silhouette,eval_silhouette,48,28,0,1.5922336751827972e-05
