noise_regime,objective,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
clean,elr,0,0.8285,0.1322514913082123,0.2944157123565674,1.1256678104400635
sym_20,elr,0,0.788,0.137169558018446,0.3453652560710907,1.0596543550491333
sym_40,elr,0,0.709,0.17619321174919603,0.4661266505718231,1.295729398727417
sym_60,elr,0,0.566,0.212447775632143,0.6323246955871582,1.6142852306365967
asym_40,elr,0,0.7765,0.1346465105116367,0.3596475124359131,1.0941767692565918
clean,elr,1,0.8335,0.1278452408313751,0.28807398676872253,1.1010518074035645
sym_20,elr,1,0.7985,0.13160223448276517,0.32486918568611145,0.9758694171905518
sym_40,elr,1,0.7245,0.15751843236386776,0.42499035596847534,1.1513376235961914
sym_60,elr,1,0.5925,0.18421734578162435,0.5929324626922607,1.490443229675293
asym_40,elr,1,0.7895,0.12605807751417164,0.33730337023735046,1.0278513431549072
clean,elr,2,0.8215,0.13922310277819633,0.3065407872200012,1.2242858409881592
sym_20,elr,2,0.7895,0.14434370808303354,0.35145580768585205,1.079654335975647
sym_40,elr,2,0.708,0.18004844267666342,0.4595405161380768,1.2647786140441895
sym_60,elr,2,0.589,0.19209681021422154,0.6088652610778809,1.5352715253829956
asym_40,elr,2,0.7705,0.1480018123090267,0.37154608964920044,1.1703554391860962
clean,elr,3,0.831,0.12705123449862,0.28703638911247253,1.1027082204818726
sym_20,elr,3,0.791,0.13783839586377147,0.34189507365226746,1.0105761289596558
sym_40,elr,3,0.701,0.1817484629303217,0.4618271589279175,1.2483370304107666
sym_60,elr,3,0.599,0.16592310009896752,0.5770122408866882,1.4418073892593384
asym_40,elr,3,0.7795,0.12851122361421585,0.35168442130088806,1.0449633598327637
clean,elr,4,0.838,0.12760164259374146,0.2799912691116333,1.0989364385604858
sym_20,elr,4,0.799,0.13449960121512416,0.3360978960990906,1.007805585861206
sym_40,elr,4,0.724,0.15627643331140278,0.4340842366218567,1.1438865661621094
sym_60,elr,4,0.591,0.19380370191484692,0.5942482948303223,1.5072848796844482
asym_40,elr,4,0.7785,0.13951294338703155,0.35704880952835083,1.049804449081421
clean,elr,5,0.853,0.11100399361550813,0.2581442594528198,0.9805662631988525
sym_20,elr,5,0.796,0.13019496931135652,0.320823073387146,0.9045009613037109
sym_40,elr,5,0.734,0.1434108273237944,0.4183056056499481,1.1380720138549805
sym_60,elr,5,0.5825,0.1734104410111904,0.6093111038208008,1.543352484703064
asym_40,elr,5,0.7855,0.128162359803915,0.3387945890426636,0.9311661720275879
clean,elr,6,0.8355,0.12714937849342828,0.2789227366447449,1.0778791904449463
sym_20,elr,6,0.802,0.13000095692276956,0.3199306130409241,0.9678046107292175
sym_40,elr,6,0.717,0.16078330651670691,0.4376204311847687,1.175523281097412
sym_60,elr,6,0.6055,0.16466788841783997,0.5834736824035645,1.4571782350540161
asym_40,elr,6,0.7865,0.12535771441459653,0.33349958062171936,1.0174669027328491
clean,elr,7,0.8285,0.13328989212214942,0.2969035506248474,1.1475718021392822
sym_20,elr,7,0.7965,0.12770238341391088,0.3322352170944214,1.034998893737793
sym_40,elr,7,0.7055,0.17855464778095484,0.4606008231639862,1.2720614671707153
sym_60,elr,7,0.5905,0.1924793870896101,0.6007501482963562,1.5105327367782593
asym_40,elr,7,0.772,0.14288135722279552,0.36377787590026855,1.1203151941299438
clean,elr,8,0.8355,0.1298081161081791,0.286064475774765,1.1501164436340332
sym_20,elr,8,0.7985,0.135372998431325,0.3261431157588959,1.0155574083328247
sym_40,elr,8,0.74,0.14523605459928512,0.40188151597976685,1.1002371311187744
sym_60,elr,8,0.5985,0.1874772601723671,0.6009870767593384,1.5581716299057007
asym_40,elr,8,0.794,0.12264343374967576,0.3303661644458771,1.0193792581558228
clean,elr,9,0.8325,0.13108467423915862,0.2958390414714813,1.2379539012908936
sym_20,elr,9,0.797,0.13473672129213815,0.33536139130592346,1.0730050802230835
sym_40,elr,9,0.7145,0.17219577531516556,0.4415293335914612,1.1925244331359863
sym_60,elr,9,0.602,0.15208692591637374,0.5735957026481628,1.3996379375457764
asym_40,elr,9,0.774,0.1393146367967129,0.358877569437027,1.1337172985076904
