objective,n_epochs,lr_scale,seed,eval_accuracy,eval_ece,eval_brier,eval_nll,train_accuracy
fisher_rao,100,1.0,0,0.329,0.37127648275196556,0.9856206515877075,2.942443609237671,0.9955
fisher_rao,100,2.0,0,0.3261,0.3575377637848258,0.9815242277782252,2.9234352111816406,0.9776
fisher_rao,100,4.0,0,0.4738,0.11760132521986962,0.7088756921849495,1.7818244695663452,0.5541
fisher_rao,200,1.0,0,0.377,0.3430134488999843,0.9204309724266901,2.598041296005249,0.9995
fisher_rao,200,2.0,0,0.3814,0.342330087827146,0.9165365461386157,2.6611485481262207,0.9995
fisher_rao,200,4.0,0,0.3194,0.3657631044149399,0.989314842671649,2.956479787826538,0.9194
fisher_rao,300,1.0,0,0.3905,0.30660622212290767,0.882402115059935,2.4363741874694824,1.0
fisher_rao,300,2.0,0,0.3829,0.3250082078740001,0.8988040098549207,2.5137405395507812,0.9999
fisher_rao,300,4.0,0,0.3308,0.3870500262796879,1.0065768079599733,2.9719882011413574,0.9918
kl,100,1.0,0,0.3431,0.3586397568434476,0.9630414199434092,2.791785955429077,0.9997
gce,100,1.0,0,0.4456,0.28613883715867994,0.8251781699463124,2.400231122970581,0.6851
sce,100,1.0,0,0.5778,0.2573271606713533,0.6737362074166864,1.952964425086975,0.4982
