fraction,seed,n_train,accuracy,fr_rd_to_ref,acc_gap
0.1,0,125,0.8870370388031006,0.4674084484577179,0.08888888359069824
0.2,0,251,0.9388889074325562,0.23375435173511505,0.037037014961242676
0.4,0,502,0.9648148417472839,0.11914464831352234,0.011111080646514893
0.6,0,754,0.9611111283302307,0.0730435699224472,0.014814794063568115
0.8,0,1005,0.9740740656852722,0.03445157781243324,0.0018518567085266113
1.0,0,1257,0.9759259223937988,0.0001457793841836974,0.0
0.1,1,125,0.9129629731178284,0.36330103874206543,0.0703703761100769
0.2,1,251,0.9333333373069763,0.26239776611328125,0.050000011920928955
0.4,1,502,0.9611111283302307,0.1348898559808731,0.02222222089767456
0.6,1,754,0.9666666388511658,0.07562392950057983,0.016666710376739502
0.8,1,1005,0.9777777791023254,0.035458024591207504,0.005555570125579834
1.0,1,1257,0.9833333492279053,0.00015473076200578362,0.0
0.1,2,125,0.9222221970558167,0.34421083331108093,0.03888893127441406
0.2,2,251,0.9277777671813965,0.23691347241401672,0.03333336114883423
0.4,2,502,0.9611111283302307,0.10892988741397858,0.0
0.6,2,754,0.9629629850387573,0.0743575468659401,-0.0018518567085266113
0.8,2,1005,0.9666666388511658,0.037647295743227005,-0.005555510520935059
1.0,2,1257,0.9611111283302307,0.0001910658902488649,0.0
0.1,3,125,0.8925926089286804,0.4558173418045044,0.07777774333953857
0.2,3,251,0.9462962746620178,0.22534774243831635,0.024074077606201172
0.4,3,502,0.9648148417472839,0.08753906190395355,0.005555510520935059
0.6,3,754,0.9740740656852722,0.0561651736497879,-0.0037037134170532227
0.8,3,1005,0.970370352268219,0.052974388003349304,0.0
1.0,3,1257,0.970370352268219,0.0001603754935786128,0.0
0.1,4,125,0.9037036895751953,0.40951433777809143,0.07777780294418335
0.2,4,251,0.9518518447875977,0.21546457707881927,0.029629647731781006
0.4,4,502,0.9666666388511658,0.1103769987821579,0.01481485366821289
0.6,4,754,0.9740740656852722,0.06180618330836296,0.007407426834106445
0.8,4,1005,0.979629635810852,0.029940392822027206,0.0018518567085266113
1.0,4,1257,0.9814814925193787,0.00015728827565908432,0.0
