fraction_a,seed_a,fraction_b,seed_b,fr_rd
0.1,0,0.1,0,5.529724512598477e-05
0.1,0,0.2,0,0.3523201048374176
0.1,0,0.4,0,0.4192624092102051
0.1,0,0.6,0,0.45129474997520447
0.1,0,0.8,0,0.4711022973060608
0.1,0,1.0,0,0.4674084484577179
0.2,0,0.2,0,5.3708197810919955e-05
0.2,0,0.4,0,0.16543419659137726
0.2,0,0.6,0,0.21094512939453125
0.2,0,0.8,0,0.22904644906520844
0.2,0,1.0,0,0.23375435173511505
0.4,0,0.4,0,9.44093189900741e-05
0.4,0,0.6,0,0.0847218707203865
0.4,0,0.8,0,0.10987818241119385
0.4,0,1.0,0,0.11914464831352234
0.6,0,0.6,0,0.00011892530164914206
0.6,0,0.8,0,0.06410201638936996
0.6,0,1.0,0,0.0730435699224472
0.8,0,0.8,0,0.00013427049270831048
0.8,0,1.0,0,0.03445157781243324
1.0,0,1.0,0,0.0001457793841836974
0.1,1,0.1,1,7.139152876334265e-05
0.1,1,0.2,1,0.2624949812889099
0.1,1,0.4,1,0.3107978105545044
0.1,1,0.6,1,0.3398987948894501
0.1,1,0.8,1,0.35350775718688965
0.1,1,1.0,1,0.36330103874206543
0.2,1,0.2,1,9.132210834650323e-05
0.2,1,0.4,1,0.1852056235074997
0.2,1,0.6,1,0.23402619361877441
0.2,1,0.8,1,0.2486218512058258
0.2,1,1.0,1,0.26239776611328125
0.4,1,0.4,1,0.0001110332814278081
0.4,1,0.6,1,0.11311142891645432
0.4,1,0.8,1,0.1285466104745865
0.4,1,1.0,1,0.1348898559808731
0.6,1,0.6,1,0.00010027347161667421
0.6,1,0.8,1,0.05686798691749573
0.6,1,1.0,1,0.07562392950057983
0.8,1,0.8,1,0.00013096386101096869
0.8,1,1.0,1,0.035458024591207504
1.0,1,1.0,1,0.00015473076200578362
0.1,2,0.1,2,7.104888209141791e-05
0.1,2,0.2,2,0.20179004967212677
0.1,2,0.4,2,0.29161882400512695
0.1,2,0.6,2,0.3179740905761719
0.1,2,0.8,2,0.3363130986690521
0.1,2,1.0,2,0.34421083331108093
0.2,2,0.2,2,8.034289203351364e-05
0.2,2,0.4,2,0.16830289363861084
0.2,2,0.6,2,0.19672611355781555
0.2,2,0.8,2,0.22965151071548462
0.2,2,1.0,2,0.23691347241401672
0.4,2,0.4,2,9.185178350890055e-05
0.4,2,0.6,2,0.06719692051410675
0.4,2,0.8,2,0.09764495491981506
0.4,2,1.0,2,0.10892988741397858
0.6,2,0.6,2,0.00011156297114212066
0.6,2,0.8,2,0.05964590609073639
0.6,2,1.0,2,0.0743575468659401
0.8,2,0.8,2,0.00015014536620583385
0.8,2,1.0,2,0.037647295743227005
1.0,2,1.0,2,0.0001910658902488649
0.1,3,0.1,3,6.265956471906975e-05
0.1,3,0.2,3,0.3218750059604645
0.1,3,0.4,3,0.4176480770111084
0.1,3,0.6,3,0.42729640007019043
0.1,3,0.8,3,0.4337860345840454
0.1,3,1.0,3,0.4558173418045044
0.2,3,0.2,3,6.905339250806719e-05
0.2,3,0.4,3,0.17163848876953125
0.2,3,0.6,3,0.19723686575889587
0.2,3,0.8,3,0.20308317244052887
0.2,3,1.0,3,0.22534774243831635
0.4,3,0.4,3,0.0001053885425790213
0.4,3,0.6,3,0.055831458419561386
0.4,3,0.8,3,0.06572460383176804
0.4,3,1.0,3,0.08753906190395355
0.6,3,0.6,3,0.00011324817751301453
0.6,3,0.8,3,0.03817140683531761
0.6,3,1.0,3,0.0561651736497879
0.8,3,0.8,3,0.0001488666021032259
0.8,3,1.0,3,0.052974388003349304
1.0,3,1.0,3,0.0001603754935786128
0.1,4,0.1,4,7.011276466073468e-05
0.1,4,0.2,4,0.2858828604221344
0.1,4,0.4,4,0.365025132894516
0.1,4,0.6,4,0.3974487781524658
0.1,4,0.8,4,0.40112659335136414
0.1,4,1.0,4,0.40951433777809143
0.2,4,0.2,4,7.906412793090567e-05
0.2,4,0.4,4,0.16259966790676117
0.2,4,0.6,4,0.20355269312858582
0.2,4,0.8,4,0.2070717066526413
0.2,4,1.0,4,0.21546457707881927
0.4,4,0.4,4,9.824562584981322e-05
0.4,4,0.6,4,0.08377297967672348
0.4,4,0.8,4,0.10504873842000961
0.4,4,1.0,4,0.1103769987821579
0.6,4,0.6,4,0.00011848648864543065
0.6,4,0.8,4,0.056122612208127975
0.6,4,1.0,4,0.06180618330836296
0.8,4,0.8,4,0.0001269081694772467
0.8,4,1.0,4,0.029940392822027206
1.0,4,1.0,4,0.00015728827565908432
