condition,seed,step,fr_rd_to_final,final_test_acc
clean,0,10,2.309964895248413,0.9740740656852722
clean,0,20,1.961013674736023,0.9740740656852722
clean,0,30,1.37666916847229,0.9740740656852722
clean,0,40,0.8984973430633545,0.9740740656852722
clean,0,50,0.5923506617546082,0.9740740656852722
clean,0,60,0.4225957691669464,0.9740740656852722
clean,0,70,0.32480743527412415,0.9740740656852722
clean,0,80,0.2635028064250946,0.9740740656852722
clean,0,90,0.21790765225887299,0.9740740656852722
clean,0,100,0.1830747425556183,0.9740740656852722
clean,0,110,0.1550540179014206,0.9740740656852722
clean,0,120,0.13227692246437073,0.9740740656852722
clean,0,130,0.11294206976890564,0.9740740656852722
clean,0,140,0.09649345278739929,0.9740740656852722
clean,0,150,0.08248975872993469,0.9740740656852722
clean,0,160,0.07055777311325073,0.9740740656852722
clean,0,170,0.060364674776792526,0.9740740656852722
clean,0,180,0.051619622856378555,0.9740740656852722
clean,0,190,0.044020749628543854,0.9740740656852722
clean,0,200,0.03742562234401703,0.9740740656852722
clean,0,210,0.03163910284638405,0.9740740656852722
clean,0,220,0.026505881920456886,0.9740740656852722
clean,0,230,0.021934494376182556,0.9740740656852722
clean,0,240,0.017835302278399467,0.9740740656852722
clean,0,250,0.014138681814074516,0.9740740656852722
clean,0,260,0.010783828794956207,0.9740740656852722
clean,0,270,0.007727082818746567,0.9740740656852722
clean,0,280,0.004923558793962002,0.9740740656852722
clean,0,290,0.0023351656273007393,0.9740740656852722
clean,0,300,8.569872443331406e-05,0.9740740656852722
clean,1,10,2.3240976333618164,0.979629635810852
clean,1,20,2.0121593475341797,0.979629635810852
clean,1,30,1.453792691230774,0.979629635810852
clean,1,40,0.917962908744812,0.979629635810852
clean,1,50,0.5933172106742859,0.979629635810852
clean,1,60,0.4233859181404114,0.979629635810852
clean,1,70,0.32877209782600403,0.979629635810852
clean,1,80,0.26804450154304504,0.979629635810852
clean,1,90,0.22175084054470062,0.979629635810852
clean,1,100,0.1861477494239807,0.979629635810852
clean,1,110,0.15802001953125,0.979629635810852
clean,1,120,0.1351698786020279,0.979629635810852
clean,1,130,0.1159469485282898,0.979629635810852
clean,1,140,0.09952707588672638,0.979629635810852
clean,1,150,0.08538294583559036,0.979629635810852
clean,1,160,0.07322542369365692,0.979629635810852
clean,1,170,0.06279615312814713,0.979629635810852
clean,1,180,0.053793251514434814,0.979629635810852
clean,1,190,0.04595279321074486,0.979629635810852
clean,1,200,0.03909316286444664,0.979629635810852
clean,1,210,0.033059537410736084,0.979629635810852
clean,1,220,0.02771667391061783,0.979629635810852
clean,1,230,0.02294854447245598,0.979629635810852
clean,1,240,0.01867085136473179,0.979629635810852
clean,1,250,0.014811718836426735,0.979629635810852
clean,1,260,0.011302507482469082,0.979629635810852
clean,1,270,0.008111131377518177,0.979629635810852
clean,1,280,0.00518213864415884,0.979629635810852
clean,1,290,0.002467560116201639,0.979629635810852
clean,1,300,9.229093120666221e-05,0.979629635810852
clean,2,10,2.32373309135437,0.9740740656852722
clean,2,20,1.9964089393615723,0.9740740656852722
clean,2,30,1.4225223064422607,0.9740740656852722
clean,2,40,0.9218147993087769,0.9740740656852722
clean,2,50,0.6192975640296936,0.9740740656852722
clean,2,60,0.44217994809150696,0.9740740656852722
