experiment,dataset,corruption_type,stress_level,objective,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_n,eval_nll_mean,eval_nll_std,eval_nll_n,eval_ece_mean,eval_ece_std,eval_ece_n,eval_brier_mean,eval_brier_std,eval_brier_n,eval_mean_true_probability_mean,eval_mean_true_probability_std,eval_mean_true_probability_n,eval_train_corrupted_fraction_mean,eval_train_corrupted_fraction_std,eval_train_corrupted_fraction_n,eval_teacher_accuracy_mean,eval_teacher_accuracy_std,eval_teacher_accuracy_n,eval_teacher_error_imitation_mean,eval_teacher_error_imitation_std,eval_teacher_error_imitation_n,eval_accuracy_on_teacher_wrong_mean,eval_accuracy_on_teacher_wrong_std,eval_accuracy_on_teacher_wrong_n,eval_teacher_student_js_mean,eval_teacher_student_js_std,eval_teacher_student_js_n
distillation,digits,class_confusion,0.1,fisher_rao,0.9307407407407406,0.01557220351552448,10,0.45250891894102097,0.12144254585723192,10,0.05065437617125336,0.011334178517322342,10,0.11761539801955223,0.02594182151942158,10,0.926884514093399,0.01627867504603434,10,0.09984089101034209,0.009599795470643305,10,0.9403703703703703,0.009791298794517697,10,0.5484708109894036,0.10258908439895413,10,0.2856149231749918,0.0741781949539833,10,0.025596133060753347,0.007132766044367333,10
distillation,digits,class_confusion,0.1,hellinger,0.9307407407407406,0.014768445953612513,10,0.4693013921380043,0.13519106982143003,10,0.053775999579164756,0.012791442653037749,10,0.11896666288375854,0.02562769882576087,10,0.9276342213153839,0.015124706505817327,10,0.09984089101034209,0.009599795470643305,10,0.9403703703703703,0.009791298794517697,10,0.5557542061260597,0.09932230096962101,10,0.2691233085626678,0.06978965777171342,10,0.025444499962031842,0.008498394319282504,10
distillation,digits,class_confusion,0.1,jensen_shannon,0.9353703703703704,0.011759218754993278,10,0.45806087702512743,0.13230372899056755,10,0.05093604544246638,0.010688644195235911,10,0.1109102874994278,0.020510718846399517,10,0.9337761759757995,0.011043746553337041,10,0.09984089101034209,0.009599795470643305,10,0.9403703703703703,0.009791298794517697,10,0.5407477164814121,0.05386511383930944,10,0.2745796326130994,0.04241575209565003,10,0.024605714529752732,0.005279264635925471,10
distillation,digits,class_confusion,0.1,kl,0.8625925925925925,0.009434554654095225,10,0.5810277074575424,0.08320169046416613,10,0.036894282748301824,0.008317290638113074,10,0.21431500911712648,0.01652407838060756,10,0.8082320332527161,0.011835202457406114,10,0.09984089101034209,0.009599795470643305,10,0.9403703703703703,0.009791298794517697,10,0.31724562188234956,0.09393306983875421,10,0.339186328950345,0.0568186733296812,10,0.08887792527675628,0.008232552802628721,10
distillation,digits,class_confusion,0.1,kl_capped,0.8959259259259259,0.036086569691743425,10,0.8442064702510834,0.4208925169005615,10,0.08364651824589131,0.03374459117946556,10,0.17935503795742988,0.06684275749726873,10,0.8949637472629547,0.035099945360004076,10,0.09984089101034209,0.009599795470643305,10,0.9403703703703703,0.009791298794517697,10,0.47455951447084166,0.08891726939498355,10,0.2857370588363151,0.07967661579992956,10,0.05122154727578163,0.022366162880528697,10
distillation,digits,class_confusion,0.1,kl_smoothed,0.8903703703703704,0.010720144862267857,10,0.5030609399080277,0.11407851264612136,10,0.042469996677504646,0.00977951889487429,10,0.17196830958127976,0.01927910241070656,10,0.8564813911914826,0.01269474252077577,10,0.09984089101034209,0.009599795470643305,10,0.9403703703703703,0.009791298794517697,10,0.38558753874829393,0.08468316069993075,10,0.3409815627764712,0.08808038491306729,10,0.06423572823405266,0.007293891328923419,10
distillation,digits,class_confusion,0.3,fisher_rao,0.788888888888889,0.02879482417207554,10,0.9897996008396148,0.14139489557900983,10,0.1260662442224997,0.01960899742650131,10,0.33452452123165133,0.043331197264808496,10,0.771039605140686,0.029476422935171557,10,0.29546539379474945,0.013856597604153349,10,0.9403703703703703,0.009791298794517697,10,0.3131378766518927,0.10216199954960224,10,0.3034662222605586,0.07238552298887699,10,0.12111374139785766,0.02010040571324971,10
distillation,digits,class_confusion,0.3,hellinger,0.8161111111111111,0.028422557809065895,10,1.0115285217761993,0.1805029310314407,10,0.13020354116404498,0.023884063485273596,10,0.30745139718055725,0.05061091031115297,10,0.8047602415084839,0.02982454227032863,10,0.29546539379474945,0.013856597604153349,10,0.9403703703703703,0.009791298794517697,10,0.3491344483392538,0.11150596972796334,10,0.32503963271554803,0.07798589223392523,10,0.10672669932246208,0.02188420438014121,10
distillation,digits,class_confusion,0.3,jensen_shannon,0.8487037037037037,0.02957878868600059,10,0.9848455369472504,0.2329409536967285,10,0.11644407190658428,0.02426395216745933,10,0.2613483354449272,0.051434483024670255,10,0.8418067514896392,0.029451168155740486,10,0.29546539379474945,0.013856597604153349,10,0.9403703703703703,0.009791298794517697,10,0.40325714301257776,0.10616535355051827,10,0.29676594730370476,0.10544733899282105,10,0.08654415309429168,0.020746314989942782,10
distillation,digits,class_confusion,0.3,kl,0.7151851851851851,0.02729763357250479,10,0.8801666617393493,0.09334383674363816,10,0.05357220448277615,0.01710334371505761,10,0.4074610024690628,0.030217333487888638,10,0.6152533888816833,0.016691486462729874,10,0.29546539379474945,0.013856597604153349,10,0.9403703703703703,0.009791298794517697,10,0.2734427521827407,0.08798515640203909,10,0.27609044133214616,0.07465673284181633,10,0.17891925126314162,0.007138009160471673,10
distillation,digits,class_confusion,0.3,kl_capped,0.3364814814814815,0.05245860460761845,10,1.958911669254303,0.15219315954337634,10,0.10424946300409457,0.04155684244906864,10,0.7950668096542358,0.04961912304284979,10,0.24420677721500397,0.07560966069816126,10,0.29546539379474945,0.013856597604153349,10,0.9403703703703703,0.009791298794517697,10,0.28224633452322234,0.0960669643166743,10,0.1836491868185232,0.10222605970686056,10,0.4137638121843338,0.03998158085384723,10
distillation,digits,class_confusion,0.3,kl_smoothed,0.7107407407407408,0.025627322144514714,10,0.9013201117515564,0.10086595535547875,10,0.05278761932695353,0.017922792090858737,10,0.41246505081653595,0.03049649270383237,10,0.615842854976654,0.017424176056953785,10,0.29546539379474945,0.013856597604153349,10,0.9403703703703703,0.009791298794517697,10,0.26791132790131644,0.08697580212483437,10,0.2830653438662592,0.07640001348426136,10,0.17977465987205504,0.007536743839928652,10
distillation,digits,clean,0.0,fisher_rao,0.9420370370370371,0.009281865408065177,10,0.3845920190215111,0.11644725291591687,10,0.04675229172463771,0.005824368512233234,10,0.10085795074701309,0.014996563752266625,10,0.9386440575122833,0.008239182903811466,10,0.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.6348868749869894,0.05724757229476675,10,0.2349713723140497,0.06825819160618395,10,0.014753457438200713,0.002951905700106488,10
distillation,digits,clean,0.0,hellinger,0.9401851851851852,0.00746122425599596,10,0.3888064280152321,0.11610157478027476,10,0.045688254557274,0.006982240386132253,10,0.10085879191756249,0.015112983721093709,10,0.9385227084159851,0.008151206283711762,10,0.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.6437061762362106,0.05361743286840687,10,0.219957955006582,0.05030186871782836,10,0.015944567695260047,0.0031911336717344602,10
distillation,digits,clean,0.0,jensen_shannon,0.9407407407407407,0.008235595101312552,10,0.3829385817050934,0.10745982811768216,10,0.04583804085298822,0.006617014837363696,10,0.1006364181637764,0.014780506872599318,10,0.9387304723262787,0.008274434166572503,10,0.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.5923355459024796,0.08865856651375108,10,0.2640610732944829,0.08632211641256775,10,0.01885777236893773,0.004528966344832594,10
distillation,digits,clean,0.0,kl,0.9412962962962963,0.009240722185092346,10,0.3488737478852272,0.09517874900611487,10,0.042585199359390466,0.0073606836234272255,10,0.09899704679846763,0.014616825381760092,10,0.9366692662239074,0.008236220151564654,10,0.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.7646451682149623,0.10448862503946253,10,0.1402725900580592,0.06446268387389646,10,0.0068907818989828225,0.0035646859582729733,10
distillation,digits,clean,0.0,kl_capped,0.9259259259259259,0.012830005981991691,10,0.594442468881607,0.18326193388468073,10,0.06066654073971289,0.012336439258157922,10,0.13089811727404593,0.024319184876941367,10,0.9237481236457825,0.012753473633229786,10,0.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.4938459786829353,0.09474862678873587,10,0.32018092785684316,0.0916780851110554,10,0.033021165803074834,0.005979854529981402,10
distillation,digits,clean,0.0,kl_smoothed,0.9412962962962963,0.009199394955684769,10,0.35614175349473953,0.11133695635932325,10,0.04185123539633224,0.007940065217483673,10,0.09925086498260498,0.01423944563169846,10,0.9366808772087097,0.008018612423852219,10,0.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.7556783066165218,0.10292857962036807,10,0.15180355422060227,0.06640844481594081,10,0.007352780899964273,0.003683409506743362,10
distillation,digits,high_temperature,0.1,fisher_rao,0.9348148148148148,0.010931330183298102,10,0.39349119514226916,0.12551359235051152,10,0.04889848874674903,0.010077205401538164,10,0.10877064764499664,0.01790530534869995,10,0.932618647813797,0.009732404671076056,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.695988649209473,0.07352496361948177,10,0.17179098670803478,0.04855611264378251,10,0.013543831650167704,0.003206954641141633,10
distillation,digits,high_temperature,0.1,hellinger,0.9359259259259259,0.009410290864276305,10,0.3908402740955353,0.1132695233757266,10,0.047377784246647806,0.007248981015174213,10,0.10655594393610954,0.015806964075111663,10,0.9335760831832886,0.009006743677903802,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.6794027324876868,0.0665109927597127,10,0.17739272557064317,0.03628100938167861,10,0.014080400578677654,0.003203710272146471,10
distillation,digits,high_temperature,0.1,jensen_shannon,0.9364814814814816,0.00903219528936131,10,0.4030289679765701,0.10700271370138183,10,0.04813722195448698,0.007216402445386855,10,0.10729605183005334,0.015380272873412438,10,0.9337904214859009,0.009051945598929865,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.6441944754087203,0.08609300550029234,10,0.21587050035991684,0.07479205783391704,10,0.017313020024448633,0.004406665065073028,10
distillation,digits,high_temperature,0.1,kl,0.9331481481481481,0.009620524343559636,10,0.37505834847688674,0.10075728264136083,10,0.04725873464235554,0.008396641852801286,10,0.10889446809887886,0.016681865190868755,10,0.9295104265213012,0.009258612991915011,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.8168650323098262,0.10889944762789591,10,0.0896716370228956,0.057902326136794816,10,0.007438581134192645,0.0029395326395395644,10
distillation,digits,high_temperature,0.1,kl_capped,0.8709259259259259,0.01898687567637201,10,0.9478600740432739,0.2124808400041739,10,0.10149460237335275,0.015691616487424547,10,0.22434488236904143,0.03342228696016862,10,0.8669948220252991,0.018672022883010418,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.6184691637251705,0.08851208087210855,10,0.16158121857492566,0.0609716368558535,10,0.057525599375367165,0.012741357202341418,10
distillation,digits,high_temperature,0.1,kl_smoothed,0.9329629629629631,0.011240671249471658,10,0.37541786432266233,0.09825238464680595,10,0.04609059706330299,0.009162698901176394,10,0.10952446460723878,0.016960048276395443,10,0.9298202455043793,0.009581098345158995,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.7888281666413818,0.10594033438226856,10,0.09743120109824914,0.060102399746005425,10,0.008419836917892099,0.003541143201794543,10
distillation,digits,high_temperature,0.3,fisher_rao,0.9192592592592593,0.01520073478678656,10,0.44124855995178225,0.11844707245234706,10,0.059525328858031176,0.013586652393416047,10,0.13271531760692595,0.02292190761124203,10,0.9161203861236572,0.012705978018656286,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.7491402997252539,0.0816784325852503,10,0.10759601925648836,0.03305424179444067,10,0.017674785293638706,0.003600887306996552,10
distillation,digits,high_temperature,0.3,hellinger,0.9188888888888889,0.015488784777839196,10,0.4424654722213745,0.10401884047523861,10,0.0592843657290494,0.011331468378055772,10,0.13292993158102034,0.02132317941435052,10,0.9150022864341736,0.011964871837115035,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.7576153299394146,0.07910583668061986,10,0.1041029953401235,0.029734776376145158,10,0.018182801175862552,0.0033421263618603012,10
distillation,digits,high_temperature,0.3,jensen_shannon,0.9212962962962964,0.01265808435457399,10,0.44675212651491164,0.12224567771367881,10,0.05638199109722068,0.012574807197453183,10,0.1298048935830593,0.021182376397642932,10,0.9174845218658447,0.011412629842211766,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.7027791371884622,0.10719899670955302,10,0.14312459004821704,0.04699310047927981,10,0.019968890957534312,0.0035757806007263022,10
