experiment,dataset,corruption_type,stress_level,seed,objective,eval_accuracy,eval_nll,eval_ece,eval_brier,eval_mean_true_probability,eval_train_corrupted_fraction,eval_teacher_accuracy,eval_teacher_error_imitation,eval_accuracy_on_teacher_wrong,eval_teacher_student_js
distillation,digits,clean,0.0,101,kl,0.9574074074074074,0.18200106918811798,0.029686012753733886,0.07167276740074158,0.9513159990310669,0.0,0.9574074074074074,0.8260869565217391,0.17391304347826086,0.0032968344166874886
distillation,digits,clean,0.0,101,kl_smoothed,0.9574074074074074,0.1795329600572586,0.02664523190922207,0.07177742570638657,0.9504175186157227,0.0,0.9574074074074074,0.8260869565217391,0.17391304347826086,0.003131930250674486
distillation,digits,clean,0.0,101,kl_capped,0.9296296296296296,0.4630691111087799,0.0630080582918944,0.13001298904418945,0.9272522926330566,0.0,0.9574074074074074,0.6521739130434783,0.21739130434782608,0.029691392555832863
distillation,digits,clean,0.0,101,jensen_shannon,0.9611111111111111,0.22691339254379272,0.03166805461600978,0.06622098386287689,0.9578895568847656,0.0,0.9574074074074074,0.5217391304347826,0.43478260869565216,0.015935445204377174
distillation,digits,clean,0.0,101,hellinger,0.9537037037037037,0.20677928626537323,0.033884036872122034,0.07173824310302734,0.9548788666725159,0.0,0.9574074074074074,0.6956521739130435,0.17391304347826086,0.01157410629093647
distillation,digits,clean,0.0,101,fisher_rao,0.9611111111111111,0.20162580907344818,0.03702318248925383,0.07136549055576324,0.9550464749336243,0.0,0.9574074074074074,0.6521739130434783,0.2608695652173913,0.011104684323072433
distillation,digits,low_temperature,0.1,101,kl,0.9574074074074074,0.1812966912984848,0.03083977787582963,0.07169368863105774,0.9514808058738708,1.0,0.9574074074074074,0.8260869565217391,0.17391304347826086,0.0032760738395154476
distillation,digits,low_temperature,0.1,101,kl_smoothed,0.9611111111111111,0.18113194406032562,0.025903054299177948,0.07143570482730865,0.950782060623169,1.0,0.9574074074074074,0.8260869565217391,0.17391304347826086,0.003079633694142103
distillation,digits,low_temperature,0.1,101,kl_capped,0.9296296296296296,0.48231348395347595,0.0630931067797873,0.12671498954296112,0.927022397518158,1.0,0.9574074074074074,0.43478260869565216,0.30434782608695654,0.036354467272758484
distillation,digits,low_temperature,0.1,101,jensen_shannon,0.9648148148148148,0.2297986000776291,0.02731673463627147,0.06570155173540115,0.958175778388977,1.0,0.9574074074074074,0.43478260869565216,0.4782608695652174,0.016953876242041588
distillation,digits,low_temperature,0.1,101,hellinger,0.9611111111111111,0.19724886119365692,0.02795854674445261,0.06801292300224304,0.9571760296821594,1.0,0.9574074074074074,0.6086956521739131,0.30434782608695654,0.011460777372121811
distillation,digits,low_temperature,0.1,101,fisher_rao,0.9611111111111111,0.20086729526519775,0.031697264313697834,0.0695631131529808,0.9561089277267456,1.0,0.9574074074074074,0.6521739130434783,0.2608695652173913,0.011201214045286179
distillation,digits,low_temperature,0.3,101,kl,0.9574074074074074,0.180342435836792,0.02744571445164859,0.07165183126926422,0.9516264796257019,1.0,0.9574074074074074,0.8260869565217391,0.17391304347826086,0.0032132589258253574
distillation,digits,low_temperature,0.3,101,kl_smoothed,0.9629629629629629,0.18407748639583588,0.0330656047220583,0.07076951116323471,0.9512558579444885,1.0,0.9574074074074074,0.8260869565217391,0.17391304347826086,0.003367335768416524
distillation,digits,low_temperature,0.3,101,kl_capped,0.9388888888888889,0.5433114767074585,0.0553704565321958,0.11169132590293884,0.9383971095085144,1.0,0.9574074074074074,0.43478260869565216,0.30434782608695654,0.03372086584568024
distillation,digits,low_temperature,0.3,101,jensen_shannon,0.9518518518518518,0.23695583641529083,0.03808021633713336,0.07636727392673492,0.9533808827400208,1.0,0.9574074074074074,0.5217391304347826,0.34782608695652173,0.01854369230568409
distillation,digits,low_temperature,0.3,101,hellinger,0.9592592592592593,0.21373160183429718,0.0304196590626681,0.06735146045684814,0.9572855830192566,1.0,0.9574074074074074,0.6086956521739131,0.30434782608695654,0.012068778276443481
distillation,digits,low_temperature,0.3,101,fisher_rao,0.9611111111111111,0.20366646349430084,0.034592208597395174,0.06819627434015274,0.9568867087364197,1.0,0.9574074074074074,0.6521739130434783,0.2608695652173913,0.01125262025743723
distillation,digits,high_temperature,0.1,101,kl,0.9518518518518518,0.19797034561634064,0.03461587103428666,0.07631149888038635,0.9469039440155029,1.0,0.9574074074074074,0.8260869565217391,0.17391304347826086,0.00454143388196826
distillation,digits,high_temperature,0.1,101,kl_smoothed,0.9537037037037037,0.2057625651359558,0.028263523402037458,0.0783766433596611,0.9468197822570801,1.0,0.9574074074074074,0.8260869565217391,0.17391304347826086,0.0051200794987380505
distillation,digits,high_temperature,0.1,101,kl_capped,0.8777777777777778,0.741438090801239,0.09393646750185222,0.21453750133514404,0.8706762194633484,1.0,0.9574074074074074,0.7391304347826086,0.13043478260869565,0.057830143719911575
distillation,digits,high_temperature,0.1,101,jensen_shannon,0.9481481481481482,0.2480391263961792,0.03955834320297952,0.08607620000839233,0.9465547800064087,1.0,0.9574074074074074,0.6956521739130435,0.17391304347826086,0.01506050769239664
distillation,digits,high_temperature,0.1,101,hellinger,0.9518518518518518,0.20176592469215393,0.03338985741138463,0.07750481367111206,0.9496777653694153,1.0,0.9574074074074074,0.7391304347826086,0.13043478260869565,0.010848809964954853
distillation,digits,high_temperature,0.1,101,fisher_rao,0.9518518518518518,0.20517243444919586,0.03438610644252216,0.07963865995407104,0.9486913681030273,1.0,0.9574074074074074,0.6956521739130435,0.17391304347826086,0.010953093878924847
distillation,digits,high_temperature,0.3,101,kl,0.9314814814814815,0.2530764937400818,0.03454935440310726,0.10521473735570908,0.9166572093963623,1.0,0.9574074074074074,0.8260869565217391,0.17391304347826086,0.016198938712477684
distillation,digits,high_temperature,0.3,101,kl_smoothed,0.9314814814814815,0.2843033969402313,0.04179541567961376,0.10648799687623978,0.9205889701843262,1.0,0.9574074074074074,0.8260869565217391,0.13043478260869565,0.017217203974723816
distillation,digits,high_temperature,0.3,101,kl_capped,0.5203703703703704,1.6194573640823364,0.17799284284313519,0.6307244300842285,0.48296067118644714,1.0,0.9574074074074074,0.391304347826087,0.30434782608695654,0.2860049605369568
distillation,digits,high_temperature,0.3,101,jensen_shannon,0.937037037037037,0.24755384027957916,0.03603977991475002,0.09371044486761093,0.9340029954910278,1.0,0.9574074074074074,0.6521739130434783,0.17391304347826086,0.016818389296531677
distillation,digits,high_temperature,0.3,101,hellinger,0.937037037037037,0.2870725989341736,0.044189621673689936,0.10401897877454758,0.927005410194397,1.0,0.9574074074074074,0.782608695652174,0.13043478260869565,0.016296368092298508
distillation,digits,high_temperature,0.3,101,fisher_rao,0.9407407407407408,0.2523924708366394,0.04045121813261953,0.09953507035970688,0.9310665130615234,1.0,0.9574074074074074,0.7391304347826086,0.17391304347826086,0.014988680370151997
