experiment,dataset,corruption_type,stress_level,objective,baseline,eval_accuracy_n,eval_accuracy_mean_diff,eval_accuracy_wilcoxon_stat,eval_accuracy_wilcoxon_p,eval_accuracy_cliffs_delta,eval_accuracy_positive_seed_count,eval_accuracy_negative_seed_count,eval_accuracy_tie_seed_count,eval_accuracy_direction_consistency,eval_nll_n,eval_nll_mean_diff,eval_nll_wilcoxon_stat,eval_nll_wilcoxon_p,eval_nll_cliffs_delta,eval_nll_positive_seed_count,eval_nll_negative_seed_count,eval_nll_tie_seed_count,eval_nll_direction_consistency,eval_ece_n,eval_ece_mean_diff,eval_ece_wilcoxon_stat,eval_ece_wilcoxon_p,eval_ece_cliffs_delta,eval_ece_positive_seed_count,eval_ece_negative_seed_count,eval_ece_tie_seed_count,eval_ece_direction_consistency,eval_brier_n,eval_brier_mean_diff,eval_brier_wilcoxon_stat,eval_brier_wilcoxon_p,eval_brier_cliffs_delta,eval_brier_positive_seed_count,eval_brier_negative_seed_count,eval_brier_tie_seed_count,eval_brier_direction_consistency,eval_mean_true_probability_n,eval_mean_true_probability_mean_diff,eval_mean_true_probability_wilcoxon_stat,eval_mean_true_probability_wilcoxon_p,eval_mean_true_probability_cliffs_delta,eval_mean_true_probability_positive_seed_count,eval_mean_true_probability_negative_seed_count,eval_mean_true_probability_tie_seed_count,eval_mean_true_probability_direction_consistency,eval_train_corrupted_fraction_n,eval_train_corrupted_fraction_mean_diff,eval_train_corrupted_fraction_wilcoxon_stat,eval_train_corrupted_fraction_wilcoxon_p,eval_train_corrupted_fraction_cliffs_delta,eval_train_corrupted_fraction_positive_seed_count,eval_train_corrupted_fraction_negative_seed_count,eval_train_corrupted_fraction_tie_seed_count,eval_train_corrupted_fraction_direction_consistency,eval_teacher_accuracy_n,eval_teacher_accuracy_mean_diff,eval_teacher_accuracy_wilcoxon_stat,eval_teacher_accuracy_wilcoxon_p,eval_teacher_accuracy_cliffs_delta,eval_teacher_accuracy_positive_seed_count,eval_teacher_accuracy_negative_seed_count,eval_teacher_accuracy_tie_seed_count,eval_teacher_accuracy_direction_consistency,eval_teacher_error_imitation_n,eval_teacher_error_imitation_mean_diff,eval_teacher_error_imitation_wilcoxon_stat,eval_teacher_error_imitation_wilcoxon_p,eval_teacher_error_imitation_cliffs_delta,eval_teacher_error_imitation_positive_seed_count,eval_teacher_error_imitation_negative_seed_count,eval_teacher_error_imitation_tie_seed_count,eval_teacher_error_imitation_direction_consistency,eval_accuracy_on_teacher_wrong_n,eval_accuracy_on_teacher_wrong_mean_diff,eval_accuracy_on_teacher_wrong_wilcoxon_stat,eval_accuracy_on_teacher_wrong_wilcoxon_p,eval_accuracy_on_teacher_wrong_cliffs_delta,eval_accuracy_on_teacher_wrong_positive_seed_count,eval_accuracy_on_teacher_wrong_negative_seed_count,eval_accuracy_on_teacher_wrong_tie_seed_count,eval_accuracy_on_teacher_wrong_direction_consistency,eval_teacher_student_js_n,eval_teacher_student_js_mean_diff,eval_teacher_student_js_wilcoxon_stat,eval_teacher_student_js_wilcoxon_p,eval_teacher_student_js_cliffs_delta,eval_teacher_student_js_positive_seed_count,eval_teacher_student_js_negative_seed_count,eval_teacher_student_js_tie_seed_count,eval_teacher_student_js_direction_consistency
distillation,digits,class_confusion,0.1,fisher_rao,kl,10,0.06814814814814814,0.0,0.001953125,1.0,10,0,0,1.0,10,-0.12851878851652146,3.0,0.009765625,-0.64,1,9,0,0.9,10,0.013760093422951527,5.0,0.01953125,0.7,8,2,0,0.8,10,-0.09669961109757423,0.0,0.001953125,-1.0,0,10,0,1.0,10,0.11865248084068299,0.0,0.001953125,1.0,10,0,0,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.23122518910705409,2.0,0.005859375,0.92,9,1,0,0.9,10,-0.053571405775353145,3.0,0.01953125,-0.39,2,7,1,0.7,10,-0.06328179221600294,0.0,0.001953125,-1.0,0,10,0,1.0
distillation,digits,class_confusion,0.1,hellinger,kl,10,0.06814814814814814,0.0,0.001953125,1.0,10,0,0,1.0,10,-0.11172631531953811,5.0,0.01953125,-0.48,1,9,0,0.9,10,0.016881716830862918,3.0,0.009765625,0.76,9,1,0,0.9,10,-0.09534834623336792,0.0,0.001953125,-1.0,0,10,0,1.0,10,0.11940218806266785,0.0,0.001953125,1.0,10,0,0,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.23850858424371008,1.0,0.00390625,0.91,9,1,0,0.9,10,-0.07006302038767713,1.0,0.00390625,-0.54,1,9,0,0.9,10,-0.06343342531472444,0.0,0.001953125,-1.0,0,10,0,1.0
distillation,digits,class_confusion,0.1,jensen_shannon,kl,10,0.07277777777777776,0.0,0.001953125,1.0,10,0,0,1.0,10,-0.122966830432415,4.0,0.013671875,-0.56,1,9,0,0.9,10,0.01404176269416455,2.0,0.005859375,0.7,9,1,0,0.9,10,-0.10340472161769867,0.0,0.001953125,-1.0,0,10,0,1.0,10,0.1255441427230835,0.0,0.001953125,1.0,10,0,0,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.22350209459906253,1.0,0.00390625,0.96,9,1,0,0.9,10,-0.06460669633724553,2.0,0.0234375,-0.58,1,7,2,0.7,10,-0.06427221074700355,0.0,0.001953125,-1.0,0,10,0,1.0
distillation,digits,class_confusion,0.1,kl_capped,kl,10,0.03333333333333335,5.0,0.01953125,0.76,9,1,0,0.9,10,0.26317876279354097,9.0,0.064453125,0.46,7,3,0,0.7,10,0.04675223549758948,0.0,0.001953125,0.92,10,0,0,1.0,10,-0.03495997115969658,10.0,0.083984375,-0.6,2,8,0,0.8,10,0.08673171401023864,0.0,0.001953125,0.9,10,0,0,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.15731389258849213,1.0,0.0078125,0.76,8,1,1,0.8,10,-0.053449270114029855,11.0,0.095703125,-0.44,2,8,0,0.8,10,-0.037656378000974655,0.0,0.001953125,-0.82,0,10,0,1.0
distillation,digits,class_confusion,0.1,kl_smoothed,kl,10,0.02777777777777777,0.0,0.001953125,0.96,10,0,0,1.0,10,-0.07796676754951477,3.0,0.009765625,-0.48,1,9,0,0.9,10,0.0055757139292028175,16.0,0.275390625,0.34,6,4,0,0.6,10,-0.04234669953584671,0.0,0.001953125,-0.94,0,10,0,1.0,10,0.04824935793876648,0.0,0.001953125,1.0,10,0,0,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.06834191686594433,11.0,0.10546875,0.42,7,3,0,0.7,10,0.001795233826126269,20.0,0.8203125,-0.01,6,3,1,0.6,10,-0.02464219704270363,0.0,0.001953125,-1.0,0,10,0,1.0
distillation,digits,class_confusion,0.3,fisher_rao,kl,10,0.07370370370370373,0.0,0.001953125,1.0,10,0,0,1.0,10,0.1096329391002655,5.0,0.01953125,0.54,9,1,0,0.9,10,0.07249403973972356,0.0,0.001953125,1.0,10,0,0,1.0,10,-0.0729364812374115,0.0,0.001953125,-0.88,0,10,0,1.0,10,0.15578621625900269,0.0,0.001953125,1.0,10,0,0,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.03969512446915193,12.0,0.25,0.26,5,4,1,0.5,10,0.02737578092841251,11.0,0.3828125,0.24,4,4,2,0.4,10,-0.05780550986528397,0.0,0.001953125,-1.0,0,10,0,1.0
distillation,digits,class_confusion,0.3,hellinger,kl,10,0.10092592592592595,0.0,0.001953125,1.0,10,0,0,1.0,10,0.13136186003684996,6.0,0.02734375,0.52,7,3,0,0.7,10,0.07663133668126883,0.0,0.001953125,1.0,10,0,0,1.0,10,-0.10000960528850555,0.0,0.001953125,-0.94,0,10,0,1.0,10,0.18950685262680053,0.0,0.001953125,1.0,10,0,0,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.07569169615651308,7.0,0.07421875,0.4,6,3,1,0.6,10,0.04894919138340191,10.0,0.15625,0.35,6,3,1,0.6,10,-0.07219255194067956,0.0,0.001953125,-1.0,0,10,0,1.0
distillation,digits,class_confusion,0.3,jensen_shannon,kl,10,0.1335185185185185,0.0,0.001953125,1.0,10,0,0,1.0,10,0.104678875207901,16.0,0.275390625,0.28,6,4,0,0.6,10,0.06287186742380814,0.0,0.001953125,0.98,10,0,0,1.0,10,-0.14611266702413558,0.0,0.001953125,-0.98,0,10,0,1.0,10,0.22655336260795594,0.0,0.001953125,1.0,10,0,0,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.12981439082983706,4.0,0.013671875,0.64,9,1,0,0.9,10,0.020675505971558608,13.0,0.9375,0.0,4,3,3,0.4,10,-0.09237509816884995,0.0,0.001953125,-1.0,0,10,0,1.0
distillation,digits,class_confusion,0.3,kl_capped,kl,10,-0.37870370370370365,0.0,0.001953125,-1.0,0,10,0,1.0,10,1.0787450075149536,0.0,0.001953125,1.0,10,0,0,1.0,10,0.050677258521318436,2.0,0.005859375,0.84,9,1,0,0.9,10,0.387605807185173,0.0,0.001953125,1.0,10,0,0,1.0,10,-0.3710466116666794,0.0,0.001953125,-1.0,0,10,0,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.008803582340481652,22.0,1.0,0.06,4,5,1,0.5,10,-0.09244125451362292,5.0,0.078125,-0.57,2,6,2,0.6,10,0.23484456092119216,0.0,0.001953125,1.0,10,0,0,1.0
distillation,digits,class_confusion,0.3,kl_smoothed,kl,10,-0.004444444444444429,9.0,0.060546875,-0.19,2,8,0,0.8,10,0.02115345001220703,1.0,0.00390625,0.2,9,1,0,0.9,10,-0.0007845851558226227,27.0,1.0,-0.02,5,5,0,0.5,10,0.0050040483474731445,1.0,0.00390625,0.2,9,1,0,0.9,10,0.0005894660949707031,16.0,0.275390625,0.0,6,4,0,0.6,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,-0.005531424281424285,6.0,0.8125,0.0,3,2,5,0.5,10,0.006974902534113064,1.0,0.25,0.02,3,1,6,0.6,10,0.0008554086089134216,7.0,0.037109375,0.18,9,1,0,0.9
