dataset,noise_regime,objective,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
digits,clean,kl,0,0.9833333333333332,0.0041793678369787,0.0278392322361469,0.061255544424057
digits,clean,gce,0,0.9805555555555556,0.0125980211628808,0.0285451207309961,0.0612047091126441
digits,clean,mae,0,0.9833333333333332,0.0115911689897378,0.0283432956784963,0.0644094124436378
digits,clean,sce,0,0.9833333333333332,0.0098019029531213,0.0278406478464603,0.0622687488794326
digits,clean,hellinger,0,0.9805555555555556,0.0088759661548667,0.0275938678532838,0.0605493634939193
digits,clean,fisher_rao,0,0.9777777777777776,0.0082594296998448,0.0286375470459461,0.0629234537482261
digits,clean,kl,1,0.9833333333333332,0.0123823365403546,0.0235730241984128,0.0537450276315212
digits,clean,gce,1,0.9861111111111112,0.0109434626996516,0.0218822658061981,0.0535625368356704
digits,clean,mae,1,0.9861111111111112,0.0053791917032665,0.0222258549183607,0.0543423853814601
digits,clean,sce,1,0.9888888888888888,0.0119502075016498,0.0221340917050838,0.0549470633268356
digits,clean,hellinger,1,0.9861111111111112,0.0124762069847849,0.0219614058732986,0.0548183023929595
digits,clean,fisher_rao,1,0.9861111111111112,0.0101318880915642,0.0229145679622888,0.0533612519502639
digits,clean,kl,2,0.9777777777777776,0.0114251832167307,0.0306489169597625,0.0743840560317039
digits,clean,gce,2,0.9805555555555556,0.009421501143111,0.0318608917295932,0.0759466513991355
digits,clean,mae,2,0.9805555555555556,0.0163512338366773,0.0337561666965484,0.0779000371694564
digits,clean,sce,2,0.9833333333333332,0.0177140935427613,0.0331411957740783,0.0803412050008773
digits,clean,hellinger,2,0.9833333333333332,0.011068047169182,0.0305003728717565,0.0703817903995513
digits,clean,fisher_rao,2,0.9777777777777776,0.011487774302562,0.0309936515986919,0.0736358761787414
digits,clean,kl,3,0.9805555555555556,0.0071123391389846,0.0292065702378749,0.0677665695548057
digits,clean,gce,3,0.9833333333333332,0.0104960840609338,0.028179507702589,0.0717267990112304
digits,clean,mae,3,0.9833333333333332,0.0129146457546287,0.0290189124643802,0.0743338018655777
digits,clean,sce,3,0.9833333333333332,0.0144116398360994,0.0284643862396478,0.0723877772688865
digits,clean,hellinger,3,0.9833333333333332,0.0130896652738252,0.0284849591553211,0.0729670524597168
