dataset,noise_regime,objective,eval_accuracy_mean_diff,eval_accuracy_oriented_gain,eval_accuracy_wilcoxon_p,eval_accuracy_n_improves,eval_accuracy_n_pairs,eval_ece_mean_diff,eval_ece_oriented_gain,eval_ece_wilcoxon_p,eval_ece_n_improves,eval_ece_n_pairs,eval_brier_mean_diff,eval_brier_oriented_gain,eval_brier_wilcoxon_p,eval_brier_n_improves,eval_brier_n_pairs,eval_nll_mean_diff,eval_nll_oriented_gain,eval_nll_wilcoxon_p,eval_nll_n_improves,eval_nll_n_pairs
digits,asym_40,fisher_rao,-0.007777777777777805,-0.007777777777777805,0.056640625,2,10,0.02433978321651618,-0.02433978321651618,0.001953125,0,10,0.02708258032798767,-0.02708258032798767,0.001953125,0,10,0.1708783507347107,-0.1708783507347107,0.001953125,0,10
digits,asym_40,gce,-0.0011111111111111404,-0.0011111111111111404,0.71875,3,10,0.03005883330272304,-0.03005883330272304,0.001953125,0,10,0.03540809750556946,-0.03540809750556946,0.001953125,0,10,0.25199673175811765,-0.25199673175811765,0.001953125,0,10
digits,asym_40,hellinger,-0.0038888888888888975,-0.0038888888888888975,0.2265625,3,10,0.019918122068047515,-0.019918122068047515,0.001953125,0,10,0.024685144424438477,-0.024685144424438477,0.001953125,0,10,0.14691848754882814,-0.14691848754882814,0.001953125,0,10
digits,asym_40,mae,0.061944444444444434,0.061944444444444434,0.001953125,10,10,0.0037281627621915366,-0.0037281627621915366,0.4921875,3,10,-0.05163145363330841,0.05163145363330841,0.009765625,9,10,0.24877936840057374,-0.24877936840057374,0.001953125,0,10
digits,asym_40,sce,0.001388888888888884,0.001388888888888884,0.98046875,5,10,0.04624882395896647,-0.04624882395896647,0.001953125,0,10,0.04568626880645752,-0.04568626880645752,0.001953125,0,10,0.44306654930114747,-0.44306654930114747,0.001953125,0,10
digits,clean,fisher_rao,-0.0002777777777777657,-0.0002777777777777657,1.0,1,10,0.0017102508909172434,-0.0017102508909172434,0.16015625,3,10,0.0005752712488174439,-0.0005752712488174439,0.048828125,2,10,0.002223852276802063,-0.002223852276802063,0.009765625,2,10
digits,clean,gce,0.0008333333333333526,0.0008333333333333526,0.25,5,10,0.002583983627458407,-0.002583983627458407,0.02734375,2,10,0.0003994099795818329,-0.0003994099795818329,0.6953125,5,10,0.0015858378261327743,-0.0015858378261327743,0.232421875,4,10
digits,clean,hellinger,0.001388888888888906,0.001388888888888906,0.125,5,10,0.001682743322518125,-0.001682743322518125,0.130859375,3,10,-0.00017319396138191224,0.00017319396138191224,0.130859375,8,10,0.0002199791371822357,-0.0002199791371822357,0.921875,5,10
digits,clean,mae,0.0008333333333333415,0.0008333333333333415,0.3125,4,10,0.0038062620162963904,-0.0038062620162963904,0.048828125,2,10,0.0008163932710886001,-0.0008163932710886001,0.431640625,5,10,0.003304487094283104,-0.003304487094283104,0.048828125,2,10
digits,clean,sce,1.1102230246251566e-17,1.1102230246251566e-17,1.0,3,10,0.0047205126285552994,-0.0047205126285552994,0.005859375,1,10,0.0013501951470971107,-0.0013501951470971107,0.10546875,3,10,0.005554279312491417,-0.005554279312491417,0.001953125,0,10
digits,sym_20,fisher_rao,0.0022222222222222365,0.0022222222222222365,0.59375,5,10,0.009801751706335257,-0.009801751706335257,0.013671875,1,10,0.008486023545265198,-0.008486023545265198,0.16015625,4,10,0.0383683979511261,-0.0383683979511261,0.00390625,1,10
