noise_regime,objective,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
clean,kl,0,0.9532,0.029403050747513794,0.07751483339695728,0.19695699214935303
clean,gce,0,0.9444,0.039663235968351335,0.09445131802291774,0.2585147023200989
clean,mae,0,0.9281,0.05738407747745515,0.12949676607154553,0.3980404734611511
clean,sce,0,0.9428,0.04397188934385778,0.10182949444384766,0.30871817469596863
clean,hellinger,0,0.9485,0.033237207537889446,0.0860655957502821,0.212861567735672
clean,fisher_rao,0,0.9499,0.03523649726510045,0.0850153353968329,0.2337234914302826
sym_20,kl,0,0.8269,0.0135821493253112,0.26072390225441916,0.6443478465080261
sym_20,gce,0,0.9247,0.05146983667016034,0.12773046679841954,0.336559921503067
sym_20,mae,0,0.9058,0.07176755574345588,0.16377969592870928,0.48185035586357117
sym_20,sce,0,0.927,0.054257712668180455,0.12810617075064415,0.36547979712486267
sym_20,hellinger,0,0.9155,0.03036670850813386,0.13402977172868183,0.3402777910232544
sym_20,fisher_rao,0,0.8933,0.006891606125235518,0.1646879705346865,0.44836854934692383
sym_40,kl,0,0.6538,0.024298841676116005,0.49354135145721223,1.2235064506530762
sym_40,gce,0,0.8875,0.06330517722368238,0.18231419967138374,0.4713258743286133
sym_40,mae,0,0.8083,0.16372491954267027,0.34588557267646847,1.209038496017456
sym_40,sce,0,0.896,0.06982063787281514,0.17771989432329993,0.4890204966068268
sym_40,hellinger,0,0.8332,0.015872590981423837,0.2567246115211353,0.6850705146789551
sym_40,fisher_rao,0,0.7491,0.03842859569489956,0.3778508656091053,0.9947889447212219
sym_60,kl,0,0.4391,0.07173682308495045,0.7404951696459796,1.8973724842071533
sym_60,gce,0,0.7575,0.08558476288318637,0.3752827494783198,0.9653593897819519
sym_60,mae,0,0.7515,0.19040885283350947,0.4270840953642048,1.3248313665390015
sym_60,sce,0,0.8275,0.10375907677114007,0.2859797145775746,0.7499802708625793
sym_60,hellinger,0,0.6333,0.06864632038176058,0.5454438925822351,1.4111135005950928
sym_60,fisher_rao,0,0.4992,0.08612190227359534,0.6850769938324734,1.7925652265548706
