dataset,objective,noise_std_fraction,n_seeds,eval_trustworthiness_mean,eval_trustworthiness_std,eval_neighborhood_recall_mean,eval_neighborhood_recall_std,eval_silhouette_mean,eval_silhouette_std,eval_knn_accuracy_mean,eval_knn_accuracy_std
blobs,fisher_rao,0.0,10,0.9645761517615176,0.0036283130919853826,0.42855,0.004669344469813488,0.7447812497615814,0.04020718415684707,1.0,0.0
blobs,fisher_rao,0.25,10,0.9524430894308942,0.004254557128049125,0.35655000000000003,0.01001512744690639,0.6734801411628724,0.04325039327812926,0.9933333333333334,0.011653431646335026
blobs,fisher_rao,0.5,10,0.9385764227642277,0.0038796936279032646,0.29255,0.008564947946913233,0.5711818277835846,0.028926773597347993,0.9816666666666667,0.012297746456210358
blobs,fisher_rao,0.75,10,0.8931525745257453,0.0094961192052031,0.23759999999999998,0.009486247355455625,0.3732388138771057,0.030095634087918963,0.8983333333333332,0.016573815433529208
blobs,fisher_rao,1.0,10,0.8142233062330625,0.013446829880924825,0.17559999999999998,0.0077952977279040925,0.1638173960149288,0.04564232981961411,0.725,0.07081971546656649
blobs,kl,0.0,10,0.9660869918699186,0.00046143989006843824,0.43055000000000004,0.007722442043234183,0.7614906251430511,0.0034962634846666986,1.0,0.0
blobs,kl,0.25,10,0.9569330623306233,0.001530715732896037,0.3611000000000001,0.010543033508225028,0.7064966440200806,0.007012342514763878,0.9983333333333334,0.005270462766947316
blobs,kl,0.5,10,0.9391953929539294,0.002723363286534197,0.29165,0.006578795904689226,0.5744262099266052,0.0199886792467459,0.9816666666666667,0.01459325059618188
blobs,kl,0.75,10,0.8985430894308942,0.011991084662211328,0.24169999999999997,0.01073209102541429,0.4062723457813263,0.03024163874507984,0.9049999999999999,0.013721210039142734
blobs,kl,1.0,10,0.8281699186991871,0.013134487737938056,0.1809,0.014722997883130558,0.21997799202799798,0.041254432516091684,0.7666666666666666,0.07777777777777779
digits,fisher_rao,0.0,10,0.8516306233062328,0.004698903243153218,0.325,0.005185449728701334,-0.11044160649180412,0.012385554981864532,0.5216666666666667,0.04782297603701632
digits,fisher_rao,0.25,10,0.8480558265582656,0.005662739114395561,0.32575,0.012804621561504005,-0.1110060229897499,0.008979084502396616,0.5483333333333332,0.06733461678278084
digits,fisher_rao,0.5,10,0.8338710027100271,0.01093701581418231,0.2947,0.012494887843523131,-0.130927362293005,0.018381334569903342,0.4916666666666667,0.043212081072511246
digits,fisher_rao,0.75,10,0.8047547425474255,0.009999633372554892,0.2586,0.017877359984069238,-0.13459479659795762,0.01777062889531751,0.49333333333333335,0.08020036636719373
digits,fisher_rao,1.0,10,0.7746663956639567,0.013117683712965936,0.21470000000000003,0.013669105473455252,-0.15443973243236542,0.026886377181462775,0.41833333333333333,0.0355295043451544
digits,kl,0.0,10,0.8542151761517616,0.0030020376629096472,0.32795,0.0033287468446181823,-0.10140324532985687,0.00888242244770613,0.5366666666666667,0.04067334492827361
digits,kl,0.25,10,0.8464032520325203,0.004241300599982557,0.3245,0.007483314773547883,-0.10418684631586075,0.011380620374473509,0.5283333333333333,0.04846406330569865
digits,kl,0.5,10,0.8333289972899729,0.012273260605512976,0.2937,0.013731957859921748,-0.12104118466377259,0.016385365814477554,0.5083333333333334,0.07983393257333285
digits,kl,0.75,10,0.8064750677506776,0.009269504020219218,0.25345000000000006,0.017476094783700647,-0.1273922637104988,0.011647751422571153,0.45000000000000007,0.05826715823167507
digits,kl,1.0,10,0.7763449864498645,0.010802907716510109,0.21654999999999996,0.014553445563775524,-0.14018365144729614,0.01677859760751527,0.41833333333333333,0.03722636792833545
mnist,fisher_rao,0.0,10,0.7474457994579946,0.0046087453248984285,0.2606,0.005699902533279741,-0.2590993091464043,0.013978143146787003,0.375,0.041013397389537236
mnist,fisher_rao,0.25,10,0.7447981029810299,0.003850793340408193,0.2552,0.007040359839288523,-0.2606975868344307,0.012919731230989096,0.37833333333333335,0.05558332639235896
mnist,fisher_rao,0.5,10,0.7441970189701897,0.005148046471593776,0.246,0.010011104945120803,-0.2610724285244942,0.011314637120248957,0.395,0.05094780674715724
mnist,fisher_rao,0.75,10,0.7374932249322492,0.0047540774368636865,0.2293,0.009798525966241606,-0.25648562610149384,0.01584774939905387,0.3783333333333333,0.0550252467307306
mnist,fisher_rao,1.0,10,0.7255056910569107,0.007596263939466557,0.2122,0.011385175546394639,-0.2550612613558769,0.016846768148159334,0.3866666666666666,0.056546713999997666
mnist,kl,0.0,10,0.7458929539295394,0.0051470476219292426,0.26195,0.0068696191063745814,-0.2533487841486931,0.011775579872059403,0.3883333333333333,0.037720544881706584
mnist,kl,0.25,10,0.744970189701897,0.006225318887773872,0.25755000000000006,0.008005033138941742,-0.25473020076751707,0.012343990191105885,0.37,0.04216370213557841
mnist,kl,0.5,10,0.7418138211382115,0.004651627128256964,0.24625,0.010384951719782915,-0.2531242877244949,0.010809799017620384,0.4083333333333333,0.06394924685122967
mnist,kl,0.75,10,0.7322628726287264,0.009692058299059923,0.22525,0.016131835329903137,-0.2536636978387833,0.008716210564049623,0.36833333333333335,0.05690038946253053
mnist,kl,1.0,10,0.7270368563685637,0.008244125371324441,0.2162,0.01027726725458778,-0.2467059835791588,0.017829724642313145,0.39333333333333337,0.05942107536498195
