task,dataset,objective,noise_std_fraction,seed,final_loss,eval_trustworthiness,eval_neighborhood_recall,eval_silhouette,eval_knn_accuracy
tsne,blobs,kl,0.0,101,0.19753745198249817,0.9863577235772357,0.6,0.8585138916969299,1.0
tsne,blobs,fisher_rao,0.0,101,0.5076318383216858,0.9859918699186991,0.597,0.8923189043998718,1.0
tsne,blobs,kl,0.0,202,0.18754513561725616,0.9856585365853658,0.5975,0.867318332195282,1.0
tsne,blobs,fisher_rao,0.0,202,0.5106625556945801,0.9852330623306234,0.5935,0.8925473093986511,1.0
tsne,blobs,kl,0.0,303,0.19156098365783691,0.9853333333333333,0.595,0.8639604449272156,1.0
tsne,blobs,fisher_rao,0.0,303,0.5083128213882446,0.9861246612466125,0.5975,0.8909928798675537,1.0
tsne,blobs,kl,0.0,404,0.19728589057922363,0.9862710027100271,0.6015,0.8582547903060913,1.0
tsne,blobs,fisher_rao,0.0,404,0.5038066506385803,0.9859457994579945,0.5985,0.890938401222229,1.0
tsne,blobs,kl,0.0,505,0.19423529505729675,0.9855284552845528,0.5984999999999999,0.8606353998184204,1.0
tsne,blobs,fisher_rao,0.0,505,0.515792727470398,0.9854281842818429,0.598,0.8890713453292847,1.0
tsne,blobs,kl,0.25,101,0.2230670154094696,0.9717533875338753,0.47,0.8549007177352905,1.0
tsne,blobs,fisher_rao,0.25,101,0.5527684092521667,0.9719268292682927,0.4625,0.8844521045684814,1.0
tsne,blobs,kl,0.25,202,0.21206849813461304,0.9709918699186992,0.452,0.8515041470527649,1.0
tsne,blobs,fisher_rao,0.25,202,0.5178245306015015,0.9703766937669377,0.44449999999999995,0.8758687376976013,1.0
tsne,blobs,kl,0.25,303,0.22474750876426697,0.971130081300813,0.44449999999999995,0.8481519222259521,1.0
tsne,blobs,fisher_rao,0.25,303,0.5522229075431824,0.9722086720867209,0.45399999999999996,0.8753541707992554,1.0
tsne,blobs,kl,0.25,404,0.2130519449710846,0.9697046070460704,0.44299999999999995,0.8537268042564392,1.0
tsne,blobs,fisher_rao,0.25,404,0.5301579833030701,0.9703387533875338,0.4485,0.8795544505119324,1.0
tsne,blobs,kl,0.25,505,0.21884609758853912,0.9703875338753387,0.45,0.8509883284568787,1.0
tsne,blobs,fisher_rao,0.25,505,0.5412710905075073,0.9713062330623307,0.465,0.8765034675598145,1.0
tsne,blobs,kl,0.5,101,0.33890074491500854,0.942520325203252,0.3185,0.7343725562095642,0.9666666666666667
tsne,blobs,fisher_rao,0.5,101,0.7456902861595154,0.9440216802168022,0.326,0.7673986554145813,0.9666666666666667
tsne,blobs,kl,0.5,202,0.3356212377548218,0.9512113821138212,0.326,0.768451452255249,1.0
