dataset,noise_std_fraction,eval_trustworthiness_n,eval_trustworthiness_mean_diff,eval_trustworthiness_wilcoxon_stat,eval_trustworthiness_wilcoxon_p,eval_trustworthiness_cliffs_delta,eval_neighborhood_recall_n,eval_neighborhood_recall_mean_diff,eval_neighborhood_recall_wilcoxon_stat,eval_neighborhood_recall_wilcoxon_p,eval_neighborhood_recall_cliffs_delta,eval_silhouette_n,eval_silhouette_mean_diff,eval_silhouette_wilcoxon_stat,eval_silhouette_wilcoxon_p,eval_silhouette_cliffs_delta,eval_knn_accuracy_n,eval_knn_accuracy_mean_diff,eval_knn_accuracy_wilcoxon_stat,eval_knn_accuracy_wilcoxon_p,eval_knn_accuracy_cliffs_delta
blobs,0.0,10,-0.0015108401084010792,22.0,0.625,-0.06,10,-0.0019999999999999905,10.0,0.080078125,-0.54,10,-0.016709375381469726,15.0,0.232421875,-0.22,10,0.0,0.0,1.0,0.0
blobs,0.25,10,-0.004489972899729011,10.0,0.083984375,-0.7,10,-0.004549999999999971,16.0,0.2734375,-0.26,10,-0.03301650285720825,8.0,0.048828125,-0.54,10,-0.0050000000000000044,0.0,0.5,-0.21
blobs,0.5,10,-0.0006189701897019173,21.0,0.556640625,0.1,10,0.0009000000000000008,22.0,0.625,0.07,10,-0.0032443821430206297,19.0,0.431640625,0.02,10,-1.1102230246251566e-17,1.0,1.0,0.01
blobs,0.75,10,-0.005390514905149057,7.0,0.037109375,-0.38,10,-0.004099999999999998,10.0,0.1640625,-0.15,10,-0.03303353190422058,6.0,0.02734375,-0.54,10,-0.006666666666666654,6.0,0.4375,-0.23
blobs,1.0,10,-0.013946612466124674,3.0,0.009765625,-0.58,10,-0.005300000000000008,12.0,0.126953125,-0.32,10,-0.05616059601306915,0.0,0.001953125,-0.72,10,-0.041666666666666685,2.5,0.0390625,-0.31
digits,0.0,10,-0.002584552845528465,11.0,0.10546875,-0.26,10,-0.0029500000000000025,10.0,0.083984375,-0.37,10,-0.00903836116194725,1.0,0.00390625,-0.4,10,-0.014999999999999996,3.0,0.15625,-0.28
digits,0.25,10,0.001652574525745265,13.0,0.16015625,0.18,10,0.0012499999999999955,25.0,0.826171875,-0.1,10,-0.00681917667388916,4.0,0.013671875,-0.4,10,0.020000000000000007,7.0,0.28125,0.19
digits,0.5,10,0.0005420054200542035,22.0,0.625,0.0,10,0.0009999999999999953,20.5,0.505859375,-0.06,10,-0.009886177629232407,3.0,0.009765625,-0.36,10,-0.01666666666666667,12.0,0.4453125,-0.06
digits,0.75,10,-0.0017203252032520155,27.0,1.0,-0.06,10,0.005150000000000007,18.5,0.388671875,0.12,10,-0.007202532887458801,19.0,0.431640625,-0.26,10,0.04333333333333334,7.0,0.1484375,0.33
digits,1.0,10,-0.001678590785907863,26.0,0.921875,-0.08,10,-0.00185000000000001,20.5,0.509765625,-0.1,10,-0.014256080985069275,2.0,0.005859375,-0.42,10,0.0,25.5,0.880859375,-0.01
mnist,0.0,10,0.001552845528455271,18.0,0.375,0.2,10,-0.0013500000000000068,22.5,0.642578125,-0.1,10,-0.005750524997711182,12.0,0.130859375,-0.24,10,-0.013333333333333353,9.5,0.265625,-0.3
mnist,0.25,10,-0.00017208672086718168,26.0,0.921875,-0.14,10,-0.0023499999999999884,21.0,0.556640625,-0.17,10,-0.005967386066913605,10.0,0.083984375,-0.3,10,0.008333333333333337,16.0,0.8046875,0.06
mnist,0.5,10,0.002383197831978323,17.0,0.322265625,0.24,10,-0.00025000000000001686,21.0,0.91015625,-0.09,10,-0.007948140799999236,11.0,0.10546875,-0.36,10,-0.013333333333333336,10.0,0.5625,-0.12
mnist,0.75,10,0.005230352303523034,10.0,0.083984375,0.36,10,0.004050000000000001,22.0,0.62109375,0.13,10,-0.002821928262710571,19.0,0.431640625,-0.24,10,0.009999999999999998,24.0,0.76953125,0.08
mnist,1.0,10,-0.0015311653116530932,20.0,0.4921875,-0.02,10,-0.004000000000000006,10.0,0.083984375,-0.24,10,-0.008355277776718139,0.0,0.001953125,-0.4,10,-0.006666666666666665,17.0,0.55859375,-0.05
