task,dataset,objective,noise_std_fraction,seed,step,loss
tsne,blobs,kl,0.0,101,0,1.8501732349395752
tsne,blobs,kl,0.0,101,50,0.495108038187027
tsne,blobs,kl,0.0,101,100,0.34289616346359253
tsne,blobs,kl,0.0,101,150,0.27612948417663574
tsne,blobs,kl,0.0,101,200,0.23793959617614746
tsne,blobs,kl,0.0,101,250,0.21403923630714417
tsne,blobs,kl,0.0,101,299,0.19753745198249817
tsne,blobs,fisher_rao,0.0,101,0,5.120090007781982
tsne,blobs,fisher_rao,0.0,101,50,1.3752961158752441
tsne,blobs,fisher_rao,0.0,101,100,0.9124249219894409
tsne,blobs,fisher_rao,0.0,101,150,0.7349330186843872
tsne,blobs,fisher_rao,0.0,101,200,0.6275758147239685
tsne,blobs,fisher_rao,0.0,101,250,0.5572715997695923
tsne,blobs,fisher_rao,0.0,101,299,0.5076318383216858
tsne,blobs,kl,0.0,202,0,1.8501732349395752
tsne,blobs,kl,0.0,202,50,0.5096908807754517
tsne,blobs,kl,0.0,202,100,0.3231826424598694
tsne,blobs,kl,0.0,202,150,0.25717592239379883
tsne,blobs,kl,0.0,202,200,0.22357207536697388
tsne,blobs,kl,0.0,202,250,0.20230689644813538
tsne,blobs,kl,0.0,202,299,0.18754513561725616
tsne,blobs,fisher_rao,0.0,202,0,5.120090007781982
tsne,blobs,fisher_rao,0.0,202,50,1.492112398147583
tsne,blobs,fisher_rao,0.0,202,100,0.9338428378105164
tsne,blobs,fisher_rao,0.0,202,150,0.7420026659965515
tsne,blobs,fisher_rao,0.0,202,200,0.6308049559593201
tsne,blobs,fisher_rao,0.0,202,250,0.5595730543136597
tsne,blobs,fisher_rao,0.0,202,299,0.5106625556945801
tsne,blobs,kl,0.0,303,0,1.8501732349395752
tsne,blobs,kl,0.0,303,50,0.5079299807548523
tsne,blobs,kl,0.0,303,100,0.3307105004787445
tsne,blobs,kl,0.0,303,150,0.2669004201889038
tsne,blobs,kl,0.0,303,200,0.23064547777175903
tsne,blobs,kl,0.0,303,250,0.20752021670341492
tsne,blobs,kl,0.0,303,299,0.19156098365783691
tsne,blobs,fisher_rao,0.0,303,0,5.120090007781982
tsne,blobs,fisher_rao,0.0,303,50,1.3485474586486816
tsne,blobs,fisher_rao,0.0,303,100,0.9079662561416626
tsne,blobs,fisher_rao,0.0,303,150,0.7315819263458252
tsne,blobs,fisher_rao,0.0,303,200,0.6256853342056274
tsne,blobs,fisher_rao,0.0,303,250,0.5567874312400818
tsne,blobs,fisher_rao,0.0,303,299,0.5083128213882446
tsne,blobs,kl,0.0,404,0,1.8501732349395752
tsne,blobs,kl,0.0,404,50,0.4897083342075348
tsne,blobs,kl,0.0,404,100,0.3443174362182617
tsne,blobs,kl,0.0,404,150,0.27544349431991577
tsne,blobs,kl,0.0,404,200,0.23776549100875854
tsne,blobs,kl,0.0,404,250,0.21388009190559387
tsne,blobs,kl,0.0,404,299,0.19728589057922363
tsne,blobs,fisher_rao,0.0,404,0,5.120090007781982
tsne,blobs,fisher_rao,0.0,404,50,1.35139000415802
tsne,blobs,fisher_rao,0.0,404,100,0.907329261302948
tsne,blobs,fisher_rao,0.0,404,150,0.7272481322288513
tsne,blobs,fisher_rao,0.0,404,200,0.6201683282852173
tsne,blobs,fisher_rao,0.0,404,250,0.5516919493675232
tsne,blobs,fisher_rao,0.0,404,299,0.5038066506385803
tsne,blobs,kl,0.0,505,0,1.8501732349395752
