dataset,regularizer,seed,selected_beta,selection_score,eval_bce_per_pixel,eval_mse,eval_latent_knn_accuracy,eval_latent_linear_accuracy,eval_latent_silhouette,eval_active_units,eval_aggregated_posterior_mmd,eval_sample_test_mmd,eval_sample_pixel_variance,eval_noise_0.25_dropout_0_bce_per_pixel,eval_noise_0.5_dropout_0_bce_per_pixel,eval_noise_0_dropout_0.25_bce_per_pixel,eval_noise_0_dropout_0.5_bce_per_pixel,eval_stable
fashion_mnist,fisher_rao,101,0.1,0.4498970925807953,0.4808541238307953,0.08228578232228756,0.619140625,0.654296875,-0.043699413537979126,8.0,0.5473635196685791,0.4571864604949951,0.003180763218551874,0.48692377656698227,0.49303479492664337,0.4910431578755379,0.5099364519119263,1.0
fashion_mnist,fisher_rao,202,0.1,0.4402312085032463,0.4706999585032463,0.0746647585183382,0.609375,0.642578125,-0.049506254494190216,8.0,0.5553465485572815,0.44083666801452637,0.0035941931419074535,0.4753566235303879,0.4855262488126755,0.478363960981369,0.4978494793176651,1.0
fashion_mnist,fisher_rao,303,1.0,0.4540970340371132,0.4837845340371132,0.08098753541707993,0.59375,0.61328125,-0.08918504416942596,8.0,0.23656511306762695,0.3949064016342163,0.003229666966944933,0.4917234778404236,0.5061419010162354,0.49377820640802383,0.5084842145442963,1.0
fashion_mnist,fisher_rao,404,0.1,0.4610801666975021,0.49115829169750214,0.08281933888792992,0.6015625,0.638671875,-0.07073526084423065,8.0,0.7401816844940186,0.4448636770248413,0.003121169749647379,0.4961956813931465,0.5022718831896782,0.4986732751131058,0.514390304684639,1.0
fashion_mnist,fisher_rao,505,0.1,0.44513330459594724,0.47599267959594727,0.07635936327278614,0.6171875,0.646484375,-0.013413692824542522,8.0,0.5037825107574463,0.45093834400177,0.0032118670642375946,0.48246366530656815,0.49405593425035477,0.48875948786735535,0.5035374090075493,1.0
fashion_mnist,kl,101,0.1,0.4489647909998894,0.4791405722498894,0.08122891187667847,0.603515625,0.66015625,-0.036201585084199905,8.0,0.5634034276008606,0.4532291293144226,0.0033582213800400496,0.48455671966075897,0.4910585582256317,0.48934104293584824,0.5091306790709496,1.0
fashion_mnist,kl,202,1.0,0.44665381461381914,0.4738999083638191,0.07591328397393227,0.544921875,0.595703125,-0.06315603852272034,8.0,0.3859502077102661,0.42168915271759033,0.0037433840334415436,0.4799831584095955,0.4954806938767433,0.48211486637592316,0.49949323385953903,1.0
fashion_mnist,kl,303,0.3,0.452136367559433,0.480456680059433,0.0799054317176342,0.56640625,0.638671875,-0.052018940448760986,8.0,0.5141823887825012,0.4090119004249573,0.0032325813081115484,0.48671193420886993,0.4976506382226944,0.4914223924279213,0.5093245208263397,1.0
fashion_mnist,kl,404,0.3,0.4523024782538414,0.4835524782538414,0.07899820432066917,0.625,0.681640625,-0.025596246123313904,8.0,0.630198061466217,0.43889522552490234,0.0032555300276726484,0.48934269696474075,0.4982674643397331,0.4930416941642761,0.5114831030368805,1.0
fashion_mnist,kl,505,0.3,0.44135355949401855,0.47309184074401855,0.0751788541674614,0.634765625,0.673828125,-0.008099503815174103,8.0,0.49048328399658203,0.4505190849304199,0.0032653838861733675,0.4788518399000168,0.4895661324262619,0.4850318357348442,0.4997323155403137,1.0
mnist,fisher_rao,101,0.03,0.2768415302038193,0.2967634052038193,0.07324898988008499,0.3984375,0.525390625,-0.15706713497638702,8.0,1.0791938304901123,0.4609946012496948,0.0032983270939439535,0.3013729974627495,0.3110111951828003,0.2933599352836609,0.30412817746400833,1.0
mnist,fisher_rao,202,1.0,0.2697973072528839,0.2929418385028839,0.07282490655779839,0.462890625,0.5703125,-0.1652795970439911,8.0,0.9822393655776978,0.47507864236831665,0.0031039349269121885,0.28728027641773224,0.2908059135079384,0.29554110020399094,0.31950629502534866,1.0
mnist,fisher_rao,303,0.3,0.27834851294755936,0.29934460669755936,0.0739770270884037,0.419921875,0.505859375,-0.13234543800354004,8.0,1.0212175846099854,0.4507390260696411,0.0029963410925120115,0.30074432492256165,0.30732662975788116,0.2969549223780632,0.31248126924037933,1.0
mnist,fisher_rao,404,1.0,0.27719339579343794,0.29731058329343796,0.07286824472248554,0.40234375,0.48046875,-0.19450947642326355,7.0,0.9796516299247742,0.4733865261077881,0.0030777272768318653,0.29785631597042084,0.30035601556301117,0.30234773457050323,0.3187001943588257,1.0
mnist,fisher_rao,505,0.3,0.28407828956842424,0.3052696958184242,0.07404063828289509,0.423828125,0.4921875,-0.14443346858024597,8.0,1.0678385496139526,0.48453617095947266,0.0030081782024353743,0.3090545982122421,0.3185940235853195,0.3001042529940605,0.30985191464424133,1.0
mnist,kl,101,0.3,0.27523717284202576,0.29379186034202576,0.0728383082896471,0.37109375,0.4921875,-0.15746793150901794,7.0,1.0179375410079956,0.45862042903900146,0.0033058563712984324,0.2948073670268059,0.3016975298523903,0.29450514912605286,0.30982738733291626,1.0
mnist,kl,202,1.0,0.2692671433091164,0.29211870580911636,0.07234597578644753,0.45703125,0.56640625,-0.15712393820285797,8.0,0.9902465343475342,0.4801476001739502,0.0031768102198839188,0.28678276389837265,0.2890578508377075,0.2969985231757164,0.3230607286095619,1.0
mnist,kl,303,1.0,0.2781709164381027,0.2994599789381027,0.073868777602911,0.42578125,0.498046875,-0.1397111415863037,7.0,0.9032939672470093,0.4444440007209778,0.0030000037513673306,0.29609277099370956,0.2985789254307747,0.3022887483239174,0.3221972733736038,1.0
mnist,kl,404,0.3,0.27590408325195315,0.2968025207519531,0.07300220802426338,0.41796875,0.51171875,-0.19177500903606415,8.0,1.097488284111023,0.48460936546325684,0.003103444818407297,0.29911697655916214,0.306000679731369,0.29690154641866684,0.31165632605552673,1.0
mnist,kl,505,1.0,0.27808132469654084,0.30024929344654083,0.07351045496761799,0.443359375,0.478515625,-0.14093196392059326,8.0,0.9576913118362427,0.48001718521118164,0.0030393272172659636,0.2987472638487816,0.3036091849207878,0.3029375895857811,0.3186889514327049,1.0
