dataset,regularizer,beta,n_seeds,eval_bce_per_pixel_mean,eval_bce_per_pixel_std,eval_mse_mean,eval_mse_std,eval_latent_knn_accuracy_mean,eval_latent_knn_accuracy_std,eval_latent_linear_accuracy_mean,eval_latent_linear_accuracy_std,eval_latent_silhouette_mean,eval_latent_silhouette_std,eval_active_units_mean,eval_active_units_std,eval_aggregated_posterior_mmd_mean,eval_aggregated_posterior_mmd_std,eval_sample_test_mmd_mean,eval_sample_test_mmd_std,eval_sample_pixel_variance_mean,eval_sample_pixel_variance_std,eval_noise_0.25_dropout_0_bce_per_pixel_mean,eval_noise_0.25_dropout_0_bce_per_pixel_std,eval_noise_0.5_dropout_0_bce_per_pixel_mean,eval_noise_0.5_dropout_0_bce_per_pixel_std,eval_noise_0_dropout_0.25_bce_per_pixel_mean,eval_noise_0_dropout_0.25_bce_per_pixel_std,eval_noise_0_dropout_0.5_bce_per_pixel_mean,eval_noise_0_dropout_0.5_bce_per_pixel_std,eval_stable_mean,eval_stable_std
fashion_mnist,fisher_rao,0.03,5,0.48352909833192825,0.007682690731692063,0.08065051659941673,0.0035839117055149927,0.59140625,0.042035315788483144,0.651171875,0.01782594407672599,-0.0422290064394474,0.020347984099726525,8.0,0.0,0.6166591763496398,0.10882526583478168,0.44336566925048826,0.0184311810538557,0.003242450999096036,0.00019757475403648373,0.4884988680481911,0.007666449760845438,0.4968482956290245,0.005979961960123813,0.4930903300642967,0.0069596231211201,0.5102380126714706,0.006011871659337333,1.0,0.0
fashion_mnist,fisher_rao,0.1,5,0.4810300573706627,0.008124381979386471,0.07978212498128415,0.003949406528836247,0.596875,0.034126632930825636,0.640234375,0.013131043995290321,-0.051312120817601684,0.025752821162927028,8.0,0.0,0.589689314365387,0.09102860755932142,0.44096615314483645,0.017856260768662542,0.003261351212859154,0.00018927162777107872,0.486426317691803,0.008009976496921733,0.4952393725514412,0.006835384510361326,0.4905279666185379,0.007834153508004416,0.5076591029763222,0.006854671890090263,1.0,0.0
fashion_mnist,fisher_rao,0.3,5,0.48696104139089585,0.007394296701624744,0.0822084542363882,0.0032877072785076566,0.583984375,0.025202124805788945,0.6359375,0.021198380548773647,-0.0638348937034607,0.016762338599240426,8.0,0.0,0.516150152683258,0.09702681062608216,0.4324217915534973,0.015700541353040297,0.0032484233379364014,0.00012837372147041882,0.4919192850589752,0.0066153036459035836,0.5009576752781868,0.005952630379962698,0.49492240101099017,0.0063590980067015895,0.5095780715346336,0.005908560151623975,1.0,0.0
fashion_mnist,fisher_rao,1.0,5,0.4919408828020096,0.011901156627921607,0.0836971964687109,0.004597400219773274,0.625,0.029523860269201122,0.637109375,0.0177078546197549,-0.06223857887089253,0.02360582771263015,8.0,0.0,0.3299176335334778,0.08977306442941096,0.4183874487876892,0.01540514046471188,0.0031071312725543974,0.00026670956008317256,0.49862218648195267,0.01098736065447899,0.5093293875455857,0.007779361617331433,0.5000893652439118,0.010434256289228453,0.5114327415823936,0.007882189508999594,1.0,0.0
fashion_mnist,kl,0.1,5,0.48417939692735673,0.007558051710014259,0.08070331551134587,0.002818903182938436,0.60546875,0.03256510156354114,0.650390625,0.0235996991671769,-0.03414500243961811,0.014570800180882911,8.0,0.0,0.5859141707420349,0.08293245516801993,0.44500253200531004,0.017731961210886323,0.003174384916201234,0.00020876138352122537,0.48950357288122176,0.00750907188078391,0.497819821536541,0.0067529025974521996,0.49464952349662783,0.007133401718798597,0.5122744664549828,0.006574204127052639,1.0,0.0
fashion_mnist,kl,0.3,5,0.4793483272194862,0.004163090843672699,0.07865393050014972,0.0028045699122913785,0.616015625,0.029185988066434593,0.6625,0.016595817020506252,-0.03565234765410423,0.019571886074295806,8.0,0.0,0.5380834698677063,0.05401941083507063,0.4375152111053467,0.017176986998880046,0.003336436627432704,0.00013250344101921517,0.48465173691511154,0.004235028930676549,0.49399334490299224,0.003840814441061433,0.4893376097083092,0.003835261736995867,0.5068382084369659,0.005151753985580241,1.0,0.0
fashion_mnist,kl,1.0,5,0.48274891823530197,0.007943760371353973,0.08014704659581184,0.0037159651790333475,0.5953125,0.03301301271906371,0.6296875,0.031511358241786205,-0.05586906038224697,0.016608392905650818,8.0,0.0,0.4145966053009033,0.07611430029883286,0.42579073905944825,0.016164492457542663,0.003343649348244071,0.00024829038884703494,0.48911189287900925,0.007264244541867048,0.5003053054213524,0.005907844776536469,0.49149881601333617,0.007034235625292245,0.5068642944097519,0.006388216516265132,1.0,0.0
fashion_mnist,kl,3.0,5,0.4935914561152458,0.006807878186397044,0.08387730345129966,0.00298620232277386,0.61171875,0.03392483109816558,0.607421875,0.0414090137638949,-0.06055074408650398,0.02073335215830349,8.0,0.0,0.25936987400054934,0.056763466477850626,0.4158684492111206,0.011711830280541947,0.002935619419440627,0.0002539535272073976,0.5021490812301636,0.0069387572109860214,0.5130811929702759,0.006459612318586943,0.5018649756908417,0.006568158390769701,0.5116769701242447,0.0051679438016264895,1.0,0.0
mnist,fisher_rao,0.03,5,0.3007783442735672,0.005452320919399827,0.07376104779541492,0.000744368185653853,0.40078125,0.014771617500928935,0.50546875,0.02468212213972519,-0.16091381907463073,0.022727047057165738,8.0,0.0,1.127325415611267,0.04765943345952974,0.47436132431030276,0.017017168699994478,0.003121919697150588,0.00010656288066388372,0.3064797893166542,0.006824796084115788,0.3169456273317337,0.007295904226702634,0.29458097666502,0.003602006567761372,0.30491800606250763,0.0019416255464177773,1.0,0.0
mnist,fisher_rao,0.1,5,0.3021043434739113,0.008455632816998423,0.07381291463971137,0.0009429013972835019,0.40703125,0.024182495545751942,0.511328125,0.029601283112629804,-0.16052231788635254,0.028904079182887253,8.0,0.0,1.1194378852844238,0.04380099536790928,0.47516876459121704,0.016256813880113283,0.0031183479353785516,0.00011387068916415114,0.3077213689684868,0.011809806841715498,0.3187560513615608,0.014113334730664747,0.29542338848114014,0.004752961520722452,0.3054311126470566,0.001671261826791706,1.0,0.0
