task,dataset,regularizer,beta,seed,epoch,step,grad_norm,loss,reconstruction,regularization
vae,mnist,kl,1.0,101,0,0,62.61885070800781,552.267761,552.234924,0.032832
vae,mnist,kl,1.0,101,0,1,62.61885070800781,525.781189,525.613464,0.167745
vae,mnist,fisher_rao,0.3,101,0,0,62.5443115234375,552.165283,552.145264,0.066659
vae,mnist,fisher_rao,0.3,101,0,1,62.5443115234375,525.934509,525.821289,0.377469
vae,mnist,fisher_rao,1.0,101,0,0,62.1664924621582,552.13916,552.073853,0.065315
vae,mnist,fisher_rao,1.0,101,0,1,62.1664924621582,525.680847,525.336914,0.343912
vae,mnist,kl,0.1,101,0,0,62.45919418334961,552.404297,552.401001,0.033042
vae,mnist,kl,0.1,101,1,8,153.99594116210938,305.731964,304.635651,10.963059
vae,mnist,kl,0.3,101,0,0,62.431243896484375,552.016968,552.007324,0.032053
vae,mnist,kl,0.3,101,1,8,155.79037475585938,312.790222,309.057129,12.443685
vae,mnist,kl,3.0,101,0,0,62.38898468017578,551.996399,551.893188,0.034404
vae,mnist,kl,3.0,101,1,8,106.02164459228516,332.755066,309.458374,7.765559
vae,mnist,fisher_rao,0.03,101,0,0,62.29507827758789,552.133911,552.131592,0.077594
vae,mnist,fisher_rao,0.03,101,1,8,160.58294677734375,307.881531,307.372192,16.97768
vae,mnist,fisher_rao,0.1,101,0,0,62.61699676513672,552.108459,552.101868,0.065689
vae,mnist,fisher_rao,0.1,101,1,8,155.51161193847656,312.761658,311.015656,17.460058
vae,mnist,kl,0.1,202,0,0,62.79520797729492,548.905334,548.901001,0.043131
vae,mnist,kl,0.1,202,1,8,155.20718383789062,289.402405,288.004181,13.982292
vae,mnist,kl,0.3,202,0,0,62.83657455444336,548.882263,548.869202,0.043463
vae,mnist,kl,0.3,202,1,8,145.172607421875,294.456085,289.725037,15.77015
vae,mnist,kl,1.0,202,0,0,61.952938079833984,548.853943,548.806519,0.047413
vae,mnist,kl,1.0,202,1,8,134.68019104003906,303.163208,289.181885,13.981331
vae,mnist,kl,3.0,202,0,0,62.281959533691406,549.107361,548.968933,0.046151
vae,mnist,kl,3.0,202,1,8,107.55714416503906,330.331604,296.871948,11.153216
vae,mnist,fisher_rao,0.03,202,0,0,61.869293212890625,548.737061,548.734009,0.101446
vae,mnist,fisher_rao,0.03,202,1,8,158.02467346191406,294.96991,294.374084,19.860813
vae,mnist,fisher_rao,0.1,202,0,0,61.970279693603516,548.720032,548.710449,0.095962
vae,mnist,fisher_rao,0.1,202,1,8,151.0340118408203,294.111847,292.204956,19.068911
vae,mnist,fisher_rao,0.3,202,0,0,62.22065734863281,548.534851,548.507019,0.092719
vae,mnist,fisher_rao,0.3,202,1,8,143.1278839111328,302.066589,296.492035,18.581814
vae,mnist,fisher_rao,1.0,202,0,0,62.10540008544922,548.688843,548.593384,0.095481
vae,mnist,fisher_rao,1.0,202,1,8,122.58403015136719,314.277557,298.568634,15.708909
vae,mnist,kl,0.1,303,0,0,64.5528335571289,550.703674,550.700317,0.03339
vae,mnist,kl,0.1,303,1,8,131.74603271484375,316.107086,314.941986,11.651
vae,mnist,kl,0.3,303,0,0,64.69415283203125,550.768982,550.758911,0.033629
vae,mnist,kl,0.3,303,1,8,132.00216674804688,316.149597,312.632263,11.724415
vae,mnist,kl,1.0,303,0,0,64.74060821533203,550.977661,550.945435,0.032197
vae,mnist,kl,1.0,303,1,8,114.4452896118164,320.769623,311.900024,8.869605
vae,mnist,kl,3.0,303,0,0,64.71295166015625,550.840149,550.738037,0.034029
vae,mnist,kl,3.0,303,1,8,89.45712280273438,332.986816,317.21817,5.256211
vae,mnist,fisher_rao,0.03,303,0,0,64.8832015991211,551.016418,551.014465,0.06516
vae,mnist,fisher_rao,0.03,303,1,8,133.92880249023438,308.550659,308.119019,14.387964
vae,mnist,fisher_rao,0.1,303,0,0,64.2167739868164,551.055603,551.049194,0.064177
vae,mnist,fisher_rao,0.1,303,1,8,136.8626251220703,314.238922,312.804779,14.34148
vae,mnist,fisher_rao,0.3,303,0,0,64.32079315185547,551.077393,551.056885,0.06832
vae,mnist,fisher_rao,0.3,303,1,8,127.19657897949219,320.578217,316.550476,13.425838
vae,mnist,fisher_rao,1.0,303,0,0,64.93384552001953,551.336121,551.268066,0.068081
vae,mnist,fisher_rao,1.0,303,1,8,109.8001708984375,327.296753,317.648041,9.648726
vae,mnist,kl,0.1,404,0,0,66.34724426269531,549.70813,549.703552,0.045964
vae,mnist,kl,0.1,404,1,8,132.26251220703125,306.511749,305.405548,11.062153
vae,mnist,kl,0.3,404,0,0,67.1458740234375,550.0271,550.013794,0.044446
vae,mnist,kl,0.3,404,1,8,135.110595703125,312.291077,308.85141,11.465557
vae,mnist,kl,1.0,404,0,0,66.9241943359375,549.73053,549.686401,0.044099
vae,mnist,kl,1.0,404,1,8,119.97062683105469,321.01355,310.700562,10.313004
vae,mnist,kl,3.0,404,0,0,66.43287658691406,549.835022,549.701965,0.044358
vae,mnist,kl,3.0,404,1,8,96.26390075683594,340.944519,318.455017,7.496496
vae,mnist,fisher_rao,0.03,404,0,0,67.00102233886719,549.645813,549.643311,0.08416
vae,mnist,fisher_rao,0.03,404,1,8,137.40695190429688,309.140381,308.731171,13.640619
vae,mnist,fisher_rao,0.1,404,0,0,66.82034301757812,549.518799,549.510376,0.083951
vae,mnist,fisher_rao,0.1,404,1,8,131.22657775878906,307.289337,306.139526,11.497986
vae,mnist,fisher_rao,0.3,404,0,0,66.28793334960938,549.748413,549.720825,0.091966
vae,mnist,fisher_rao,0.3,404,1,8,130.35330200195312,311.850403,308.704102,10.487635
vae,mnist,fisher_rao,1.0,404,0,0,66.6938247680664,549.423096,549.334229,0.088891
vae,mnist,fisher_rao,1.0,404,1,8,115.04669189453125,316.120575,307.222595,8.89797
vae,mnist,kl,0.1,505,0,0,63.442562103271484,549.65979,549.655945,0.038561
vae,mnist,kl,0.1,505,1,8,145.27395629882812,310.856506,310.063721,7.927727
vae,mnist,kl,0.3,505,0,0,63.97947311401367,549.696411,549.68512,0.03773
vae,mnist,kl,0.3,505,1,8,135.85165405273438,314.561066,312.048889,8.373873
vae,mnist,kl,1.0,505,0,0,63.672393798828125,549.776062,549.738037,0.03803
vae,mnist,kl,1.0,505,1,8,124.10562133789062,316.654663,309.446838,7.207836
vae,mnist,kl,3.0,505,0,0,63.624996185302734,549.905334,549.785706,0.039872
